sample_id,vehicle_structure,readable,has_xy_yaw,has_left_right_clearance,has_body_clearance,has_full_boundary,has_boundary_confidence,has_vehicle_profile_id,has_vehicle_profile_fingerprint,boundary_distance_semantics_verified,body_clearance_min_m,body_clearance_p05_m,body_clearance_p50_m,body_clearance_mean_m,body_clearance_negative_ratio,body_clearance_lt_0p5_ratio,longest_body_clearance_lt_0p5_m,corridor_width_min_m,map_id,true_label
sample_6e378fec3526db9eb331,five_axis,True,True,True,True,False,False,True,True,False,0.43646157548822995,1.326954463212168,1.629814154719646,1.5906645320713177,0.0,0.0072483111229748876,8.199999999998909,6.219415634179896,map_001,0
sample_0a9bce7c46fa4314c4be,five_axis,True,True,True,True,False,False,True,True,False,0.4347770174431873,1.4256731350566965,1.6297766417783333,1.6008292106487838,0.0,0.008502248783192655,11.199999999998909,4.656881779932726,map_001,0
sample_521a142e021c24472855,six_axis,True,True,True,True,False,False,True,True,False,0.12126772785573467,1.7415605963711898,3.615214517889397,12.616345465331303,0.0,0.004172661870503597,25.0,4.72922897938452,map_001,0
sample_82ef1ef32d1f20b4fa9c,six_axis,True,True,True,True,False,False,True,True,False,0.12126772785573467,1.7415605963711898,3.615214517889397,12.616345465331303,0.0,0.004172661870503597,25.0,4.72922897938452,map_001,0
sample_4c9318984cdb2bebef87,six_axis,True,True,True,True,False,False,True,True,False,-2.3193098237796326,0.48336966285384375,1.61966967626749,1.4590786318013595,0.029290853031860225,0.05095580678314491,47.59999999999991,4.723992151134537,map_001,0
sample_31858112ed60b1a4bbb0,six_axis,True,True,True,True,False,False,True,True,False,-2.3193098237796326,0.48336966285384375,1.61966967626749,1.4590786318013595,0.029290853031860225,0.05095580678314491,47.59999999999991,4.723992151134537,map_001,0
sample_5e7a9827a7e1c763a2d7,six_axis,True,True,True,True,False,False,True,True,False,0.4304914678001821,1.2920623596043506,1.629843033796822,1.5846766514208241,0.0,0.010770811921891058,14.399999999999636,4.751066857096582,map_001,0
sample_5e6868133c9c91cc9b51,six_axis,True,True,True,True,False,False,True,True,False,0.1663101561513572,1.7405165694091715,3.6162277182043647,12.616516709933686,0.0,0.004028776978417266,25.0,4.691257500600171,map_001,0
sample_92162fc20b921353ca2d,six_axis,True,True,True,True,False,False,True,True,False,0.12126772785573467,1.7415605963711898,3.615214517889397,12.616345465331303,0.0,0.004172661870503597,25.0,4.72922897938452,map_001,0
sample_13587dd289b5b88b6136,six_axis,True,True,True,True,False,False,True,True,False,0.12126772785573467,1.7415605963711898,3.615214517889397,12.616345465331303,0.0,0.004172661870503597,25.0,4.72922897938452,map_001,1
sample_64ea43583703538c1011,five_axis,True,True,True,True,True,True,True,True,False,1.0665196079990173,1.207106841571977,1.769340682455518,3.3878813267530297,0.0,0.0,0.0,6.883862464324329,map_002,0
sample_963cfa6ea5eec2c7b048,five_axis,True,True,True,True,False,False,True,True,False,0.3583773329624407,0.42316802413846377,1.563137355554577,2.727898485275507,0.0,0.13465160075329566,27.80000000000001,4.6325622616784,map_002,0
sample_e34a0e3c6ab759be5857,five_axis,True,True,True,True,True,True,True,True,False,1.0665196079990173,1.207106841571977,1.769340682455518,3.3878813267530297,0.0,0.0,0.0,6.883862464324329,map_002,0
sample_5f9f87668ea6bb2be48b,six_axis,True,True,True,True,False,False,True,True,False,-3.46457751243774,-3.086206550747501,0.8977818409495899,0.49068680212155363,0.1326530612244898,0.23747680890538034,51.4,6.9911659244716,map_002,0
sample_bc344258cc5903520ed2,six_axis,True,True,True,True,False,False,True,True,False,-3.46457751243774,-3.086206550747501,0.8977818409495899,0.49068680212155363,0.1326530612244898,0.23747680890538034,51.4,6.9911659244716,map_002,0
sample_d2f237df725878414383,six_axis,True,True,True,True,False,False,True,True,False,-3.5012076586946868,-2.2063589378931012,0.899243557980457,0.6282403229404309,0.150278293135436,0.22448979591836735,39.4,6.9911659244716,map_002,0
sample_0fb98d53ec7070ae8d88,six_axis,True,True,True,True,False,False,True,True,False,-3.46457751243774,-3.086206550747501,0.8977818409495899,0.49068680212155363,0.1326530612244898,0.23747680890538034,51.4,6.9911659244716,map_002,0
sample_08791d869a1dcd8084bc,six_axis,True,True,True,True,False,False,True,True,False,-3.46457751243774,-3.086206550747501,0.8977818409495899,0.49068680212155363,0.1326530612244898,0.23747680890538034,51.4,6.9911659244716,map_002,0
sample_b5709b7910d952c3a8ff,six_axis,True,True,True,True,False,False,True,True,False,-3.5012076586946868,-2.2063589378931012,0.899243557980457,0.6282403229404309,0.150278293135436,0.22448979591836735,39.4,6.9911659244716,map_002,0
sample_70edf4b98cd915bb2aa8,six_axis,True,True,True,True,False,False,True,True,False,-4.743199391686467,-2.158040762302178,0.9014944187866174,0.6276143260276758,0.15120593692022263,0.22820037105751392,23.400000000000002,6.9911659244716,map_002,0
sample_1457c0c45167b411e8ed,six_axis,True,True,True,True,False,False,True,True,False,-2.757643738734281,-1.600242084988386,-0.08596938040145785,-0.24396628409293944,0.5860771401693321,0.9689557855126999,206.0,4.8,map_002,0
sample_86e4cadfe1a8f9c6cf16,six_axis,True,True,True,True,False,False,True,True,False,-3.46457751243774,-3.086206550747501,0.8977818409495899,0.49068680212155363,0.1326530612244898,0.23747680890538034,51.4,6.9911659244716,map_002,0
sample_3ee863f16cacf81f8bc0,six_axis,True,True,True,True,False,False,True,True,False,-2.757643738734281,-1.600242084988386,-0.08596938040145785,-0.24396628409293944,0.5860771401693321,0.9689557855126999,206.0,4.8,map_002,0
sample_78ddacaad6eb0952601f,six_axis,True,True,True,True,False,False,True,True,False,-2.757643738734281,-1.600242084988386,-0.08596938040145785,-0.24396628409293944,0.5860771401693321,0.9689557855126999,206.0,4.8,map_002,0
sample_89db22d5e10d599564ce,six_axis,True,True,True,True,False,False,True,True,False,-3.46457751243774,-3.086206550747501,0.8977818409495899,0.49068680212155363,0.1326530612244898,0.23747680890538034,51.4,6.9911659244716,map_002,0
sample_29f9e066efca11f2cdea,six_axis,True,True,True,True,False,False,True,True,False,-3.7627586509422897,-1.80758528756546,0.8977818409495899,0.6456685843507355,0.14007421150278293,0.2300556586270872,38.800000000000004,6.9911659244716,map_002,0
sample_347eac32e8b8cf5ff624,six_axis,True,True,True,True,False,False,True,True,False,-3.7627586509422897,-1.80758528756546,0.8977818409495899,0.6456685843507355,0.14007421150278293,0.2300556586270872,38.800000000000004,6.9911659244716,map_002,0
sample_5e4eb77f5a42c32d3fd6,six_axis,True,True,True,True,False,False,True,True,False,-3.46457751243774,-3.086206550747501,0.8977818409495899,0.49068680212155363,0.1326530612244898,0.23747680890538034,51.4,6.9911659244716,map_002,0
sample_459708d7cd8e805af73b,six_axis,True,True,True,True,False,False,True,True,False,-3.7627586509422897,-1.80758528756546,0.8977818409495899,0.6456685843507355,0.14007421150278293,0.2300556586270872,38.800000000000004,6.9911659244716,map_002,0
sample_4f06877616afc0b55dab,six_axis,True,True,True,True,False,False,True,True,False,-3.5012076586946868,-2.2063589378931012,0.899243557980457,0.6282403229404309,0.150278293135436,0.22448979591836735,39.4,6.9911659244716,map_002,0
sample_9a9d266b037471e60c0f,six_axis,True,True,True,True,False,False,True,True,False,-3.46457751243774,-3.086206550747501,0.8977818409495899,0.49068680212155363,0.1326530612244898,0.23747680890538034,51.4,6.9911659244716,map_002,0
sample_5267f5c8e008920794e4,six_axis,True,True,True,True,False,False,True,True,False,-3.5012076586946868,-2.2063589378931012,0.899243557980457,0.6282403229404309,0.150278293135436,0.22448979591836735,39.4,6.9911659244716,map_002,0
sample_9a783ed2442fa0b65484,six_axis,True,True,True,True,False,False,True,True,False,-3.46457751243774,-3.086206550747501,0.8977818409495899,0.49068680212155363,0.1326530612244898,0.23747680890538034,51.4,6.9911659244716,map_002,1
sample_a896db42376e4598d5e9,six_axis,True,True,True,True,False,False,True,True,False,-3.46457751243774,-3.086206550747501,0.8977818409495899,0.49068680212155363,0.1326530612244898,0.23747680890538034,51.4,6.9911659244716,map_002,1
sample_6766f8f00f7203b7e511,six_axis,True,True,True,True,False,False,True,True,False,-3.46457751243774,-3.086206550747501,0.8977818409495899,0.49068680212155363,0.1326530612244898,0.23747680890538034,51.4,6.9911659244716,map_002,1
sample_5b5e2330da3079bd376e,six_axis,True,True,True,True,False,False,True,True,False,-2.757643738734281,-1.600242084988386,-0.08596938040145785,-0.24396628409293944,0.5860771401693321,0.9689557855126999,206.0,4.8,map_002,1
sample_a246374aae34d88ecd45,six_axis,True,True,True,True,False,False,True,True,False,-2.757643738734281,-1.600242084988386,-0.08596938040145785,-0.24396628409293944,0.5860771401693321,0.9689557855126999,206.0,4.8,map_002,1
sample_e2cc273d03bd96d27541,five_axis,True,True,True,True,False,False,True,True,False,2.9123834288942336,2.9180725479819007,3.0726921589587386,3.0437415240161743,0.0,0.0,0.0,9.99958261915923,map_003,1
sample_f9ae1cee128676ca8df7,six_axis,True,True,True,True,False,False,True,True,False,2.804940661688935,2.810632243953282,3.048354282077719,2.9974051518565776,0.0,0.0,0.0,9.99958261915923,map_003,1
sample_49a4d3c23272a507cd3f,unknown,True,True,True,True,False,False,False,False,False,2.7269205838078783,2.795371925684557,2.8989594113983137,2.8968066988681893,0.0,0.0,0.0,9.994878671132764,map_003,0
sample_548d481ae2f9c532b5dd,unknown,True,True,True,True,False,False,False,False,False,2.8086018897104896,2.825684046511992,2.9852319978691693,2.967553696881213,0.0,0.0,0.0,9.998849027710149,map_003,0
sample_d89ce3d20d66e543c278,unknown,True,True,True,True,False,False,False,False,False,2.6154952236121494,2.6792275529783858,2.9353483105062512,2.9091959189107635,0.0,0.0,0.0,9.953970475549532,map_003,0
sample_e67813b3016e109ee396,unknown,True,True,True,True,False,False,False,False,False,0.20217618873881182,0.20890566962427481,0.4462587534485625,0.3968063815817852,0.0,0.7134416543574594,50.19999999999999,4.8,map_003,0
sample_a2fee12738fd38c94de5,unknown,True,True,True,True,False,False,False,False,False,0.13693978983154143,0.16964728192958464,0.3828097067328371,0.3604085905953481,0.0,0.9261447562776958,84.01447857396928,4.8,map_003,0
sample_8af5ff2037b27d1863b5,unknown,True,True,True,True,False,False,False,False,False,0.20217618873881182,0.20890566962427481,0.4462587534485625,0.3968063815817852,0.0,0.7134416543574594,50.19999999999999,4.8,map_003,0
sample_7e77457d6f4cc4e9438c,unknown,True,True,True,True,False,False,False,False,False,2.7441565607982144,2.769747281440979,2.9504727833739746,2.9352210921331414,0.0,0.0,0.0,9.998117500213235,map_003,0
sample_c03b9c32528e2a377427,unknown,True,True,True,True,False,False,False,False,False,2.7464135048911023,2.773677711767452,2.9433095155554017,2.925764396800611,0.0,0.0,0.0,9.997266346163006,map_003,0
sample_d269ba74d330cb07c659,unknown,True,True,True,True,False,False,False,False,False,2.804940661688935,2.810632243953282,3.048354282077719,2.9974051518565776,0.0,0.0,0.0,9.99958261915923,map_003,1
sample_c90f392bb99bcce3e16a,unknown,True,True,True,True,False,False,False,False,False,2.747595861732253,2.7746362949816192,2.9009040747100467,2.8952340626020674,0.0,0.0,0.0,9.972202374763171,map_003,1
sample_31d03f5dc531baf0c45a,unknown,True,True,True,True,False,False,False,False,False,2.804160781133577,2.810006593412502,3.0488268257590265,2.99721685239699,0.0,0.0,0.0,9.999706821513643,map_003,1
sample_edbd374f18848c034f77,unknown,True,True,True,True,False,False,False,False,False,2.8092619380846715,2.8242772350178216,2.9844615756470763,2.9670861668529867,0.0,0.0,0.0,9.998825613532336,map_003,1
sample_5a879ceebfb8f2099f9f,five_axis,True,True,True,True,False,False,True,True,False,0.3450542731633348,0.34581684524568507,0.34581690793811215,0.34584831416781886,0.0,1.0,578.503774685135,4.8,map_004,1
sample_87fd8d73bcb6181d1d2f,six_axis,True,True,True,True,False,False,True,True,False,2.682419365972901,2.851731569098063,2.8520530980412078,2.849071045672634,0.0,0.0,0.0,9.999768656869094,map_004,1
sample_b1f510a51bf41dcee183,unknown,True,True,True,True,False,False,False,False,False,2.682419365972901,2.851731569098063,2.8520530980412078,2.849071045672634,0.0,0.0,0.0,9.999768656869094,map_004,1
sample_323765edaaffdb457600,unknown,True,True,True,True,False,False,False,False,False,2.682419365972901,2.851731569098063,2.8520530980412078,2.849071045672634,0.0,0.0,0.0,9.999768656869094,map_004,1
sample_93bdbe83423c7d4f9690,unknown,True,True,True,True,False,False,False,False,False,2.6187007040436,2.6203217978019384,2.739834753810285,2.753604881488713,0.0,0.0,0.0,9.999812087208998,map_004,1
sample_32570f8d6d82727819e6,unknown,True,True,True,True,False,False,False,False,False,2.6824267861424795,2.8519596777730016,2.852029657444361,2.849091027278322,0.0,0.0,0.0,9.99980788804326,map_004,1
sample_f93c6e2d04f17fe7dbf6,five_axis,True,True,True,True,True,True,True,True,False,1.5850079762279865,1.7841133714423734,2.7027000630022817,2.6154113463493016,0.0,0.0,0.0,9.80357023299469,map_005,0
sample_8032fcaf806c7d5bd51f,five_axis,True,True,True,True,True,True,True,True,True,1.5850079762279865,1.7841133714423734,2.7027000630022817,2.6154113463493016,0.0,0.0,0.0,9.80357023299469,map_005,0
sample_28f42be1e2161d010dcc,five_axis,True,True,True,True,True,True,True,True,False,1.5850079762279865,1.7841133714423734,2.7027000630022817,2.6154113463493016,0.0,0.0,0.0,9.80357023299469,map_005,0
sample_aec92a809f9653b0bd7d,five_axis,True,True,True,True,True,True,True,True,False,1.5850079762279865,1.7841133714423734,2.7027000630022817,2.6154113463493016,0.0,0.0,0.0,9.80357023299469,map_005,0
sample_777234617677faae9728,five_axis,True,True,True,True,True,True,True,True,False,1.5850079762279865,1.7841133714423734,2.7027000630022817,2.6154113463493016,0.0,0.0,0.0,9.80357023299469,map_005,0
sample_30e5deb5d00fd67a761c,five_axis,True,True,True,True,True,True,True,True,True,1.5850079762279865,1.7841133714423734,2.7027000630022817,2.6154113463493016,0.0,0.0,0.0,9.80357023299469,map_005,0
sample_b0ca7dd0dd8619c1b52d,five_axis,True,True,True,True,True,True,True,True,False,1.5850079762279865,1.7841133714423734,2.7027000630022817,2.6154113463493016,0.0,0.0,0.0,9.80357023299469,map_005,0
sample_f4ac342a9ca6adfaecaf,five_axis,True,True,True,True,True,True,True,True,False,1.5850079762279865,1.7841133714423734,2.7027000630022817,2.6154113463493016,0.0,0.0,0.0,9.80357023299469,map_005,0
sample_b829bc7f761635eb3bf0,five_axis,True,True,True,True,True,True,True,True,False,1.5850079762279865,1.7841133714423734,2.7027000630022817,2.6154113463493016,0.0,0.0,0.0,9.80357023299469,map_005,0
sample_b02ac86c362efc9e2fe0,five_axis,True,True,True,True,True,True,True,True,False,1.5850079762279865,1.7841133714423734,2.7027000630022817,2.6154113463493016,0.0,0.0,0.0,9.80357023299469,map_005,0
sample_b850910e34d3d959117e,five_axis,True,True,True,True,True,True,True,True,False,1.5850079762279865,1.7841133714423734,2.7027000630022817,2.6154113463493016,0.0,0.0,0.0,9.80357023299469,map_005,0
sample_5587c8a244d8fbf0438d,five_axis,True,True,True,True,True,True,True,True,False,1.5850079762279865,1.7841133714423734,2.7027000630022817,2.6154113463493016,0.0,0.0,0.0,9.80357023299469,map_005,0
sample_c5cc39642ee5cb8e70ea,five_axis,True,True,True,True,True,True,True,True,False,1.5850079762279865,1.7841133714423734,2.7027000630022817,2.6154113463493016,0.0,0.0,0.0,9.80357023299469,map_005,0
sample_fae4ad25bf5303078036,five_axis,True,True,True,True,True,True,True,True,False,1.5850079762279865,1.7841133714423734,2.7027000630022817,2.6154113463493016,0.0,0.0,0.0,9.80357023299469,map_005,0
sample_4b623e19e1b8198306b9,five_axis,True,True,True,True,True,True,True,True,True,1.5850079762279865,1.7841133714423734,2.7027000630022817,2.6154113463493016,0.0,0.0,0.0,9.80357023299469,map_005,0
sample_e17c8cc27d322864efd2,five_axis,True,True,True,True,True,True,True,True,False,1.5850079762279865,1.7841133714423734,2.7027000630022817,2.6154113463493016,0.0,0.0,0.0,9.80357023299469,map_005,0
sample_47e687d2914792d4e262,five_axis,True,True,True,True,True,True,True,True,False,1.5850079762279865,1.7841133714423734,2.7027000630022817,2.6154113463493016,0.0,0.0,0.0,9.80357023299469,map_005,0
