source_machine,map,report_path_local,route_path_local,build_family,report_file_sha256,route_file_sha256,route_input_hash,route_input_hash_method,hard_certificate_passed,hard_failure_reasons,completed,policy_id,hard_thresholds,dynamic_pcd_clearance_m,maximum_slip_ratio,maximum_tire_utilization,maximum_abs_lateral_error_m,maximum_abs_heading_error_deg,vehicle_profile_id,vehicle_profile_fingerprint,axle_count,wheel_count,steer_ff_rad_second_dim,vehicle_structure,identity_evidence,route_length_m,point_count,report_modified_time,route_modified_time,comparison_status,local_relation,transfer_recommended,parse_notes
LAPTOP-4HMR50QA,cliff_3,D:\OnSite-B-1150-Unified\five_axis_generator_builds\cliff_3_terminal_attack_20260824\w151\certificate\summary.json,D:\OnSite-B-1150-Unified\five_axis_generator_builds\cliff_3_terminal_attack_20260824\w151\routes\cliff_3.npz,five_axis_generator_builds,f2dfc971a98b77c721a5a1944117a59391b3145baa114969870aa5d92b8e227d,104f9a1443bdc0a8d7e7047136e47ac52157c4eb45d0deb61ad3a8550f852f8f,,,false,"[""maximum_slip_ratio"", ""maximum_tire_utilization""]",true,,,,0.314670205116272,1.9895776280777242,0.9254449134576221,7.190348247511465,five_axis,4ec13c407273a370c01747c10ca81942fa98caab38073946be123042e1dd02b7,,,10,five_axis_explicit,explicit_profile_id,230.25381396445908,1152,2026-08-24T07:18:23.019970+00:00,2026-08-24T07:17:37.325590+00:00,pending_baseline_merge,new_route_with_label,true,explicit_path;route_input_hash_pending_repository_rule
LAPTOP-4HMR50QA,cliff_3,D:\OnSite-B-1150-Unified\five_axis_generator_builds\cliff_3_terminal_attack_20260824\w151_attack\certificate\summary.json,D:\OnSite-B-1150-Unified\five_axis_generator_builds\cliff_3_terminal_attack_20260824\w151_attack\routes\cliff_3.npz,five_axis_generator_builds,5350ac8a1aa616673c86281d73cbec297ee2132b840ae4628d1c03ac2b60f62b,1a3b5704ad4e99c1cee52ff18cea34535baabcca566f262541439f7cc25f25e2,,,false,"[""maximum_slip_ratio"", ""maximum_tire_utilization""]",true,,,,0.314670205116272,1.9895776280777242,0.9254449134576221,7.190348247511465,five_axis,ee1b968983f0d0d8305b5afc24afd9ea65d17027e1bebdab5f8bd2dae19edfc5,,,10,five_axis_explicit,explicit_profile_id,230.25381396445908,1152,2026-08-24T07:20:54.856013+00:00,2026-08-24T07:20:09.755657+00:00,pending_baseline_merge,new_route_with_label,true,explicit_path;route_input_hash_pending_repository_rule
LAPTOP-4HMR50QA,cliff_3,D:\OnSite-B-1150-Unified\five_axis_generator_builds\cliff_3_terminal_attack_20260824\w151_tailonly\certificate\summary.json,D:\OnSite-B-1150-Unified\five_axis_generator_builds\cliff_3_terminal_attack_20260824\w151_tailonly\routes\cliff_3.npz,five_axis_generator_builds,770dcdf0874bedf8c14c81568012912a3c1195947034c0f2d12ed6dfbe1b281c,2a35749d0038e2a0d6500624e82cc3d52a27019c3079d3b9543c39e30bb32387,,,false,"[""maximum_slip_ratio"", ""maximum_tire_utilization""]",true,,,,0.3063037693500519,1.9586364924401518,0.3450439296307155,4.997766819709438,five_axis,ee1b968983f0d0d8305b5afc24afd9ea65d17027e1bebdab5f8bd2dae19edfc5,,,10,five_axis_explicit,explicit_profile_id,230.25381396445908,1152,2026-08-24T07:23:28.648269+00:00,2026-08-24T07:22:41.178564+00:00,pending_baseline_merge,new_route_with_label,true,explicit_path;route_input_hash_pending_repository_rule
LAPTOP-4HMR50QA,cliff_3,D:\OnSite-B-1150-Unified\five_axis_generator_builds\cliff_3_terminal_attack_20260824\w251\certificate\summary.json,D:\OnSite-B-1150-Unified\five_axis_generator_builds\cliff_3_terminal_attack_20260824\w251\routes\cliff_3.npz,five_axis_generator_builds,b0a8d3fd2f1c436c597da57a2cf08f6229407e101d001d9257e27432da0c7dab,30958281adf9a7e1d8b10ce9ccccc71591f7f569d054a6bbe892bfd0d15f086e,,,false,"[""maximum_slip_ratio"", ""maximum_tire_utilization""]",true,,,,0.314670205116272,1.9895776280777242,0.9254449134576221,7.190348247511465,five_axis,4ec13c407273a370c01747c10ca81942fa98caab38073946be123042e1dd02b7,,,10,five_axis_explicit,explicit_profile_id,230.26572224823042,1152,2026-08-24T07:18:45.812749+00:00,2026-08-24T07:17:39.688798+00:00,pending_baseline_merge,new_route_with_label,true,explicit_path;route_input_hash_pending_repository_rule
LAPTOP-4HMR50QA,cliff_3,D:\OnSite-B-1150-Unified\five_axis_generator_builds\cliff_3_terminal_attack_20260824\w251_attack\certificate\summary.json,D:\OnSite-B-1150-Unified\five_axis_generator_builds\cliff_3_terminal_attack_20260824\w251_attack\routes\cliff_3.npz,five_axis_generator_builds,8b48e498f2bc9875499437f945ba9d6b633e7f5541fb044c38c0f35f936f7d68,9920d540cd84f6979ea50c025ab54b75b23aaa123788bb264049ef01524a1cd2,,,false,"[""maximum_slip_ratio"", ""maximum_tire_utilization""]",true,,,,0.314670205116272,1.9895776280777242,0.9254449134576221,7.190348247511465,five_axis,ee1b968983f0d0d8305b5afc24afd9ea65d17027e1bebdab5f8bd2dae19edfc5,,,10,five_axis_explicit,explicit_profile_id,230.26572224823042,1152,2026-08-24T07:21:29.459730+00:00,2026-08-24T07:20:10.977851+00:00,pending_baseline_merge,new_route_with_label,true,explicit_path;route_input_hash_pending_repository_rule
LAPTOP-4HMR50QA,cliff_3,D:\OnSite-B-1150-Unified\five_axis_generator_builds\cliff_3_terminal_attack_20260824\w251_tailonly\certificate\summary.json,D:\OnSite-B-1150-Unified\five_axis_generator_builds\cliff_3_terminal_attack_20260824\w251_tailonly\routes\cliff_3.npz,five_axis_generator_builds,46204d276e4f5ea54eb85491893987d174724115bed8748cefdb175d1ef937d9,819bcd3aa1c9e06b7d60ac6d9ee720c0599c9dede2097c350ff1f7d012dce9dc,,,false,"[""maximum_slip_ratio"", ""maximum_tire_utilization""]",true,,,,0.3063037693500519,1.9586364924401518,0.3450439296307155,4.997766819709438,five_axis,ee1b968983f0d0d8305b5afc24afd9ea65d17027e1bebdab5f8bd2dae19edfc5,,,10,five_axis_explicit,explicit_profile_id,230.26572224823042,1152,2026-08-24T07:24:08.144614+00:00,2026-08-24T07:22:42.344138+00:00,pending_baseline_merge,new_route_with_label,true,explicit_path;route_input_hash_pending_repository_rule
LAPTOP-4HMR50QA,cliff_3,D:\OnSite-B-1150-Unified\five_axis_generator_builds\cliff_3_terminal_attack_20260824\w401_tailonly\certificate\summary.json,D:\OnSite-B-1150-Unified\five_axis_generator_builds\cliff_3_terminal_attack_20260824\w401_tailonly\routes\cliff_3.npz,five_axis_generator_builds,45f0f6ab011f93d8e2bbfafc448616e7a07d8ecfc811b6db99730027919d8d8a,0e16e0825d9d6f6a6a4351a5534aaa0a249053797d5b57895bd94beccb79d549,,,false,"[""maximum_slip_ratio"", ""maximum_tire_utilization""]",true,,,,0.3063037693500519,1.9586364924401518,0.3450439296307155,5.5575049460515,five_axis,ee1b968983f0d0d8305b5afc24afd9ea65d17027e1bebdab5f8bd2dae19edfc5,,,10,five_axis_explicit,explicit_profile_id,230.26988733878954,1152,2026-08-24T07:25:28.634434+00:00,2026-08-24T07:24:37.108743+00:00,pending_baseline_merge,new_route_with_label,true,explicit_path;route_input_hash_pending_repository_rule
LAPTOP-4HMR50QA,cliff_3,D:\OnSite-B-1150-Unified\five_axis_generator_builds\cliff_3_terminal_attack_20260824\w501_tailonly\certificate\summary.json,D:\OnSite-B-1150-Unified\five_axis_generator_builds\cliff_3_terminal_attack_20260824\w501_tailonly\routes\cliff_3.npz,five_axis_generator_builds,b988008d23b4e1c6eea448a47393d55759c6439fe05dab813e4ad26ab89413bd,b9ae4d3f166d7530d2adba969def590f05a73ca87b6639fb7178e16139cebe58,,,false,"[""maximum_slip_ratio"", ""maximum_tire_utilization""]",true,,,,0.3063037693500519,1.9586364924401518,0.3450439296307155,4.997766819709438,five_axis,ee1b968983f0d0d8305b5afc24afd9ea65d17027e1bebdab5f8bd2dae19edfc5,,,10,five_axis_explicit,explicit_profile_id,230.2529658542774,1152,2026-08-24T07:26:36.555674+00:00,2026-08-24T07:25:53.362441+00:00,pending_baseline_merge,new_route_with_label,true,explicit_path;route_input_hash_pending_repository_rule
LAPTOP-4HMR50QA,cliff_3,D:\OnSite-B-1150-Unified\five_axis_generator_builds\cliff_3_terminal_attack_20260824\w601_tailonly\certificate\summary.json,D:\OnSite-B-1150-Unified\five_axis_generator_builds\cliff_3_terminal_attack_20260824\w601_tailonly\routes\cliff_3.npz,five_axis_generator_builds,e45850a17f8811cdadd3f489d22c9ef2eac4a09b0c2449b9f7bcaef932db3cb6,e5f81602ec534784ead4d871b92ab70861234ee5220f9af1ef9c49c74b1ccc7e,,,false,"[""maximum_slip_ratio"", ""maximum_tire_utilization""]",true,,,,0.3063037693500519,1.9586364924401518,0.3450439296307155,4.997766819709438,five_axis,ee1b968983f0d0d8305b5afc24afd9ea65d17027e1bebdab5f8bd2dae19edfc5,,,10,five_axis_explicit,explicit_profile_id,230.2437635707713,1152,2026-08-24T07:27:36.014056+00:00,2026-08-24T07:27:00.987275+00:00,pending_baseline_merge,new_route_with_label,true,explicit_path;route_input_hash_pending_repository_rule
LAPTOP-4HMR50QA,narrow_4,D:\OnSite-B-1150-Unified\five_axis_generator_builds\generated_narrow_4_flatout_five_axis_20260824\certificate\summary.json,D:\OnSite-B-1150-Unified\five_axis_generator_builds\narrow_4_flatout_20260824\five_attack5\routes\narrow_4.npz,five_axis_generator_builds,ab2f47268689cc2fb55cd3f36ffc4d854a968a2ac080eab197ccee0b868f48ef,0e24830229cbda877119de0bc760e536af456d15e79aec24737edbb076c42875,,,false,"[""maximum_tire_utilization""]",true,,,,0.1508968472480774,1.1815248711052937,0.06285753722600684,3.4708631896291386,five_axis,4ec13c407273a370c01747c10ca81942fa98caab38073946be123042e1dd02b7,,,,five_axis_explicit,explicit_profile_id,228.00476728357913,1148,2026-08-23T18:51:21.359367+00:00,2026-08-23T18:50:37.904022+00:00,pending_baseline_merge,new_route_with_label,true,explicit_path;route_input_hash_pending_repository_rule
LAPTOP-4HMR50QA,cliff_3,D:\OnSite-B-1150-Unified\five_axis_generator_builds\multi_route_limit_20260824\attack_1\replay\cliff_3\summary.json,D:\OnSite-B-1150-Unified\five_axis_generator_builds\multi_route_limit_20260824\attack_1\routes\cliff_3\cliff_3.npz,five_axis_generator_builds,c9c51a5680f5ab135145ead9031cb55d3f95cb3ffd8e09db97aee9d183c7b430,28d69c18c0800d0fc778ccd40269f63cd13566d6e01ba41cc0fd2183bae6af53,,,false,"[""maximum_slip_ratio"", ""maximum_tire_utilization""]",true,,,,0.30920854210853577,2.156704193245722,1.2927626878269902,11.229293156204234,five_axis,4ec13c407273a370c01747c10ca81942fa98caab38073946be123042e1dd02b7,,10,10,five_axis_explicit,explicit_profile_id,230.01593702547729,1156,2026-08-23T23:33:17.833784+00:00,2026-08-23T23:32:42.250022+00:00,pending_baseline_merge,new_route_with_label,true,explicit_path;route_input_hash_pending_repository_rule
LAPTOP-4HMR50QA,cliff_6,D:\OnSite-B-1150-Unified\five_axis_generator_builds\multi_route_limit_20260824\attack_1\replay\cliff_6\summary.json,D:\OnSite-B-1150-Unified\five_axis_generator_builds\multi_route_limit_20260824\attack_1\routes\cliff_6\cliff_6.npz,five_axis_generator_builds,b2487e7c4230660799e4ee2f010bd69ac07e9f95dc204e7c59fdd8706f43701b,74bb39672ac8cc6831b23e7dc7b5d5996bec5d296f4bac2852ff4cd6914e6b62,,,false,"[""closed_loop_pcd_clearance"", ""maximum_slip_ratio"", ""maximum_tire_utilization""]",true,,,,14.256956100463867,2.028462613799648,5.106217301200828,15.69326909424512,five_axis,4ec13c407273a370c01747c10ca81942fa98caab38073946be123042e1dd02b7,,,,five_axis_explicit,explicit_profile_id,273.69373471975666,1373,2026-08-23T23:33:39.973840+00:00,2026-08-23T23:32:42.261022+00:00,pending_baseline_merge,new_route_with_label,true,explicit_path;route_input_hash_pending_repository_rule
LAPTOP-4HMR50QA,ramp_3,D:\OnSite-B-1150-Unified\five_axis_generator_builds\multi_route_limit_20260824\attack_1\replay\ramp_3\summary.json,D:\OnSite-B-1150-Unified\five_axis_generator_builds\multi_route_limit_20260824\attack_1\routes\ramp_3\ramp_3.npz,five_axis_generator_builds,057fe2cf0074cdf2fc716e0ab2f7ac2a4e1bd3f7843e2bcda57d9d9f2d725803,f22b5f571bf637ee33a077b817b6ef88e6863e0b1a2bdd546a5ae1c9be37dd2c,,,false,"[""maximum_slip_ratio"", ""maximum_tire_utilization""]",true,,,,0.2964307367801666,2.1537009403775214,3.338726470927311,18.787546907732462,five_axis,4ec13c407273a370c01747c10ca81942fa98caab38073946be123042e1dd02b7,,,,five_axis_explicit,explicit_profile_id,1186.018923797658,5941,2026-08-23T23:34:32.783054+00:00,2026-08-23T23:32:42.295769+00:00,pending_baseline_merge,new_route_with_label,true,explicit_path;route_input_hash_pending_repository_rule
