source_machine,evidence_path_local,evidence_file_sha256,map,vehicle_profile_id,vehicle_profile_fingerprint,axle_count,wheel_count,steer_ff_rad_second_dim,vehicle_structure,identity_evidence,calibration_or_profile_kind,modified_time,parse_notes
LAPTOP-4HMR50QA,D:\five-axis-deploy\20260815-current-rollback\race_guidance_control\calibration\five_axis\transient_capability_v2_manifest.json,4e0e286d0cb5bf65c41196385d666dd431bdd2b970947ce1417357122e9c3e79,,five_axis,,,,,five_axis_explicit,explicit_profile_id,vehicle_or_calibration_json,2026-08-14T15:37:16+00:00,route_not_resolved
LAPTOP-4HMR50QA,D:\five-axis-deploy\20260815-current-rollback\race_guidance_control\routes\five_axis_ay_v1_release\manifest.json,a489eca10084252379546361e6c2d5572e6bdef4992252498e89e65630037866,cliff_1,five_axis,,,,,five_axis_explicit,explicit_profile_id,report_or_manifest_json,2026-08-07T08:38:46+00:00,multiple_npz_near_report:12
LAPTOP-4HMR50QA,D:\five-axis-deploy\20260815-current-rollback\race_guidance_control\routes\five_axis_ay_v1_release\mu085_ca2705067_rebuild_manifest.json,152ae8bdc4e7f698333267aa9056414b6b3c326a6347e138f11df1d5935edc23,narrow_1,,,,,,unknown_or_conflict,path_only,vehicle_or_calibration_json,2026-08-15T05:38:50+00:00,multiple_npz_near_report:12
LAPTOP-4HMR50QA,D:\five-axis-deploy\20260815-current-rollback\turnaround_8796_backend\vehicle_capability_control_rebuild\calibration\calibration_report.json,8b92b1959fc31fc30bd9884c4100812a6e1279971ae88c7ffeb2fa6cc543f266,,,,,,,unknown_or_conflict,path_only,vehicle_or_calibration_json,2026-07-18T04:07:02+00:00,route_not_resolved
LAPTOP-4HMR50QA,D:\five-axis-deploy\20260815-current-rollback\turnaround_8796_backend\vehicle_capability_control_rebuild\calibration\vehicle_inverse_steering_table.json,f182f0aa6183b76583a021b8bf965a4cd454cdc13a8f08cf64806559d7de0fed,,,,,,,unknown_or_conflict,path_only,vehicle_or_calibration_json,2026-07-18T04:07:02+00:00,route_not_resolved
LAPTOP-4HMR50QA,D:\five-axis-deploy\20260815-current-rollback\vehicle_capability_control_rebuild\calibration\five_axis\vehicle_inverse_steering_table.json,9ed45d3424e22cb387f5dcd93ee72058e3ef9ed3542288cb3a4ed3562cabd987,,five_axis,,,,,five_axis_explicit,explicit_profile_id,vehicle_or_calibration_json,2026-08-06T11:09:04+00:00,route_not_resolved
LAPTOP-4HMR50QA,D:\five-axis-deploy\20260815-current-rollback\vehicle_capability_control_rebuild\calibration\five_axis\vehicle_profile.json,c0c28da5d1d50c0c4b49b3671034d94ae9e71eb1be680b78323deeeab99fd433,,five_axis,,5,,,five_axis_explicit,explicit_profile_id,vehicle_or_calibration_json,2026-08-14T15:26:38+00:00,route_not_resolved
LAPTOP-4HMR50QA,D:\five-axis-deploy\20260815-current-rollback\vehicle_capability_control_rebuild\calibration\five_axis_ay_v1_release\lateral_accel_speed_envelope_v1_manifest.json,744abf59c96abd53c62e8971efee596edb921b56fbc5323f3020e0fc01c9e8a5,cliff_1,five_axis,,,,,five_axis_explicit,explicit_profile_id,vehicle_or_calibration_json,2026-08-08T10:39:46+00:00,route_not_resolved
LAPTOP-4HMR50QA,D:\five-axis-deploy\_stage_20260815\20260813_五轴通用掉头策略_比赛运行版\race_guidance_control\calibration\five_axis\transient_capability_v2_manifest.json,4e0e286d0cb5bf65c41196385d666dd431bdd2b970947ce1417357122e9c3e79,,five_axis,,,,,five_axis_explicit,explicit_profile_id,vehicle_or_calibration_json,2026-08-14T15:37:16+00:00,route_not_resolved
LAPTOP-4HMR50QA,D:\five-axis-deploy\_stage_20260815\20260813_五轴通用掉头策略_比赛运行版\race_guidance_control\routes\five_axis_ay_v1_release\manifest.json,a489eca10084252379546361e6c2d5572e6bdef4992252498e89e65630037866,cliff_1,five_axis,,,,,five_axis_explicit,explicit_profile_id,report_or_manifest_json,2026-08-07T08:38:46+00:00,multiple_npz_near_report:12
LAPTOP-4HMR50QA,D:\five-axis-deploy\_stage_20260815\20260813_五轴通用掉头策略_比赛运行版\race_guidance_control\routes\five_axis_ay_v1_release\mu085_ca2705067_rebuild_manifest.json,152ae8bdc4e7f698333267aa9056414b6b3c326a6347e138f11df1d5935edc23,narrow_1,,,,,,unknown_or_conflict,path_only,vehicle_or_calibration_json,2026-08-15T05:38:50+00:00,multiple_npz_near_report:12
LAPTOP-4HMR50QA,D:\five-axis-deploy\_stage_20260815\20260813_五轴通用掉头策略_比赛运行版\turnaround_8796_backend\vehicle_capability_control_rebuild\calibration\calibration_report.json,8b92b1959fc31fc30bd9884c4100812a6e1279971ae88c7ffeb2fa6cc543f266,,,,,,,unknown_or_conflict,path_only,vehicle_or_calibration_json,2026-07-18T04:07:02+00:00,route_not_resolved
