configuration_path_local,file_sha256,vehicle_profile_id,vehicle_profile_fingerprint,axle_count,wheel_count,version,controller_version,tire_version,load_version,calibration_version,identity_evidence,parse_status,error,transfer_recommended
C:\Users\zgz20\Desktop\代码\C-TURE\five_axis\race_guidance_control\calibration\five_axis\closed_loop_response.json,fcc569bc7505f42aaac6901b5d6625d587008532e4a6c9f2c141c10f31af007d,five_axis,,,,1,,,,,explicit_profile_id,ok,,true
C:\Users\zgz20\Desktop\代码\C-TURE\five_axis\race_guidance_control\calibration\five_axis\closed_loop_response_nominal.json,158dfd9346e07d308011711aaa30235f833d6d347dfbdaf700e80a20e105ddab,five_axis,,,,2,,,,,explicit_profile_id,ok,,true
C:\Users\zgz20\Desktop\代码\C-TURE\five_axis\race_guidance_control\calibration\five_axis\closed_loop_response_robust.json,5e49a11d61443bd75e16b56e6887d119a2e11a6d0a5b0f619ab1908761c868ee,five_axis,,,,1,,,,,explicit_profile_id,ok,,true
C:\Users\zgz20\Desktop\代码\C-TURE\five_axis\race_guidance_control\calibration\five_axis\longitudinal_envelope.json,814e9d0ffdba39fc62fbae71e9a90d643ba40f12153703dde21dab63a740c73c,five_axis,,,,1,,,,,explicit_profile_id,ok,,true
C:\Users\zgz20\Desktop\代码\C-TURE\five_axis\race_guidance_control\calibration\five_axis\transient_capability_v2_manifest.json,77a6c3dfd79503abdb22918859153f1ee8e5628e2045a03485aad9be666012df,five_axis,6fca6c2f625f897e6b1276e7481c1db09adc06e3641287493ffbc7f88176f1b5,,,2,,,,,explicit_profile_id,ok,,true
E:\BaiduNetdiskDownload\使命召唤\C-TURE\five_axis\race_guidance_control\calibration\five_axis\closed_loop_response.json,fcc569bc7505f42aaac6901b5d6625d587008532e4a6c9f2c141c10f31af007d,five_axis,,,,1,,,,,explicit_profile_id,ok,,false
E:\BaiduNetdiskDownload\使命召唤\C-TURE\five_axis\race_guidance_control\calibration\five_axis\closed_loop_response_nominal.json,158dfd9346e07d308011711aaa30235f833d6d347dfbdaf700e80a20e105ddab,five_axis,,,,2,,,,,explicit_profile_id,ok,,false
E:\BaiduNetdiskDownload\使命召唤\C-TURE\five_axis\race_guidance_control\calibration\five_axis\closed_loop_response_robust.json,5e49a11d61443bd75e16b56e6887d119a2e11a6d0a5b0f619ab1908761c868ee,five_axis,,,,1,,,,,explicit_profile_id,ok,,false
E:\BaiduNetdiskDownload\使命召唤\C-TURE\five_axis\race_guidance_control\calibration\five_axis\longitudinal_envelope.json,814e9d0ffdba39fc62fbae71e9a90d643ba40f12153703dde21dab63a740c73c,five_axis,,,,1,,,,,explicit_profile_id,ok,,false
E:\BaiduNetdiskDownload\使命召唤\C-TURE\five_axis\race_guidance_control\calibration\five_axis\transient_capability_v2_manifest.json,77a6c3dfd79503abdb22918859153f1ee8e5628e2045a03485aad9be666012df,five_axis,6fca6c2f625f897e6b1276e7481c1db09adc06e3641287493ffbc7f88176f1b5,,,2,,,,,explicit_profile_id,ok,,false
E:\BaiduNetdiskDownload\使命召唤\C-TURE\five_axis\vehicle_capability_control_rebuild\calibration\five_axis\axle_response_model.json,980514b89226f632e91f223611259f3a2238f657066f1e566d3e05db2300fc24,five_axis,,5,,1,,,,,explicit_profile_id,ok,,true
E:\BaiduNetdiskDownload\使命召唤\C-TURE\five_axis\vehicle_capability_control_rebuild\calibration\five_axis\equilibrium_performance_table.json,3f7c879ce29fc76112f8ae6ce584f3da42b0f3c6135cb4629570eaeefd781ec6,five_axis,,,,2,,,,,explicit_profile_id,ok,,true
E:\BaiduNetdiskDownload\使命召唤\C-TURE\five_axis\vehicle_capability_control_rebuild\calibration\five_axis\lateral_capability_envelope.json,79bb618231282abaa88c592236c1bab6d2450ad7af6eb9cb128db694717f813b,five_axis,,,,2,,,,,explicit_profile_id,ok,,true
E:\BaiduNetdiskDownload\使命召唤\C-TURE\five_axis\vehicle_capability_control_rebuild\calibration\five_axis\longitudinal_command_schedule_v1.json,cde6cc4854c14e165b13133e20250a9bdfeb5da65e0431208b32c55d594602b0,five_axis,,,,1,,,,,explicit_profile_id,ok,,true
E:\BaiduNetdiskDownload\使命召唤\C-TURE\five_axis\vehicle_capability_control_rebuild\calibration\five_axis\lqr_gain_schedule.json,0a3c1a28f8a65e41531bd6114a2db1d030fce80844d90705dbdea18f653884cd,five_axis,,,,1,,,,,explicit_profile_id,ok,,true
E:\BaiduNetdiskDownload\使命召唤\C-TURE\five_axis\vehicle_capability_control_rebuild\calibration\five_axis\vehicle_inverse_steering_table.json,9ed45d3424e22cb387f5dcd93ee72058e3ef9ed3542288cb3a4ed3562cabd987,five_axis,,,,2,,,,,explicit_profile_id,ok,,true
E:\BaiduNetdiskDownload\使命召唤\C-TURE\five_axis\vehicle_capability_control_rebuild\calibration\five_axis\vehicle_profile.json,f6955faeb6723a59646639ab13a439178a4b17d2cf80b026061d3049fe0120d4,five_axis,,5,10,2,,,,,explicit_profile_id,ok,,true
E:\BaiduNetdiskDownload\使命召唤\C-TURE\five_axis\vehicle_capability_control_rebuild\calibration\five_axis_ay_v1_release\lateral_accel_speed_envelope_v1_manifest.json,744abf59c96abd53c62e8971efee596edb921b56fbc5323f3020e0fc01c9e8a5,five_axis,,,,2,,,,,explicit_profile_id,ok,,true
E:\BaiduNetdiskDownload\使命召唤\C-TURE\offline_tools\route_builder\vehicle_profiles\5axles\calibration_bundle\current\calibration_manifest.json,2829ff71277b49fd88b72b420734867dd5f8e0607f2d6579ca18b4176f0b235f,five_axis,,,,onsite5-active-runtime-20260827,,,,onsite5-active-runtime-20260827,explicit_profile_id,ok,,true
E:\BaiduNetdiskDownload\使命召唤\C-TURE\offline_tools\route_builder\vehicle_profiles\5axles\calibration_bundle\current\deployed\controller\axle_response_model.json,980514b89226f632e91f223611259f3a2238f657066f1e566d3e05db2300fc24,five_axis,,5,,1,,,,,explicit_profile_id,ok,,false
