sample_id,route_file_sha256,map_id,vehicle_structure,match_method,sha256_verified,npz_readable,feature_row_included,numeric_feature_count,missing_numeric_feature_count,fallback_or_derived_count,feature_missing_reason,source_arrays_used,finite_numeric_features,source_machine
PG-SHANYU000-01ceb4d030f51a16,01ceb4d030f51a16958b5ef781e78538e8d5f7d20d5443d4c36e4728a46c573a,narrow_4,five_axis_explicit,route_file_sha256,true,true,true,55,0,2,steer_ff_rad:used_beta_ref_rad;yaw_rate_ref_radps:derived_from_yaw_per_m_and_speed,"[""beta_ref_rad"",""dkappa_ds_1pm2"",""kappa_1pm"",""left_clearance_m"",""right_clearance_m"",""s_m"",""v_profile_mps"",""yaw_per_m_ref_1pm"",""z_m""]",true,SHANYU000_local
PG-SHANYU000-07775005aa964d84,07775005aa964d84321e46864e92c1e4af48b71ab3f2a590edcf9438342aea98,cliff_3,five_axis_explicit,route_file_sha256,true,true,true,55,0,2,steer_ff_rad:used_beta_ref_rad;yaw_rate_ref_radps:derived_from_yaw_per_m_and_speed,"[""beta_ref_rad"",""dkappa_ds_1pm2"",""kappa_1pm"",""left_clearance_m"",""right_clearance_m"",""s_m"",""v_profile_mps"",""yaw_per_m_ref_1pm"",""z_m""]",true,SHANYU000_local
PG-SHANYU000-0f557750e4e0d4e8,0f557750e4e0d4e824c89a2c5283b0a6bacae63bb5493cb4616fd2074c23b7f3,cliff_6,five_axis_explicit,route_file_sha256,true,true,true,55,0,2,steer_ff_rad:used_beta_ref_rad;yaw_rate_ref_radps:derived_from_yaw_per_m_and_speed,"[""beta_ref_rad"",""dkappa_ds_1pm2"",""kappa_1pm"",""left_clearance_m"",""right_clearance_m"",""s_m"",""v_profile_mps"",""yaw_per_m_ref_1pm"",""z_m""]",true,SHANYU000_local
PG-SHANYU000-1266a7e4ee68b5c8,1266a7e4ee68b5c8ce3fe606adc85c974eec8c17b045bfeac43fc33a864e8074,narrow_1,six_axis_structural,route_file_sha256,true,true,true,55,0,0,,"[""dkappa_ds_1pm2"",""kappa_1pm"",""left_clearance_m"",""right_clearance_m"",""s_m"",""steer_ff_rad"",""v_profile_mps"",""yaw_rate_ref_radps"",""z_m""]",true,SHANYU000_local
PG-SHANYU000-250b207fe1290aa9,250b207fe1290aa927408af5427cf6e86d1cff6cfab66a1470f1524754e12f8f,cliff_1,five_axis_explicit,route_file_sha256,true,true,true,55,0,2,steer_ff_rad:used_beta_ref_rad;yaw_rate_ref_radps:derived_from_yaw_per_m_and_speed,"[""beta_ref_rad"",""dkappa_ds_1pm2"",""kappa_1pm"",""left_clearance_m"",""right_clearance_m"",""s_m"",""v_profile_mps"",""yaw_per_m_ref_1pm"",""z_m""]",true,SHANYU000_local
PG-SHANYU000-364301c2a9eabef2,364301c2a9eabef2be52e3a623144cdad87454f93e9c75541523b9cc885d0e90,overpass_1,five_axis_explicit,route_file_sha256,true,true,true,55,0,2,steer_ff_rad:used_beta_ref_rad;yaw_rate_ref_radps:derived_from_yaw_per_m_and_speed,"[""beta_ref_rad"",""dkappa_ds_1pm2"",""kappa_1pm"",""left_clearance_m"",""right_clearance_m"",""s_m"",""v_profile_mps"",""yaw_per_m_ref_1pm"",""z_m""]",true,SHANYU000_local
PG-SHANYU000-3c67efb459a865b1,3c67efb459a865b10dfef69caed11409258bb2b05f74cea10ca967212ce06dfb,mounarea_2,five_axis_explicit,route_file_sha256,true,true,true,55,0,2,steer_ff_rad:used_beta_ref_rad;yaw_rate_ref_radps:derived_from_yaw_per_m_and_speed,"[""beta_ref_rad"",""dkappa_ds_1pm2"",""kappa_1pm"",""left_clearance_m"",""right_clearance_m"",""s_m"",""v_profile_mps"",""yaw_per_m_ref_1pm"",""z_m""]",true,SHANYU000_local
PG-SHANYU000-3eb406eba77b6377,3eb406eba77b6377da2cd9cfe753bbf8310bdfbbe5702a07af641a2127be5182,mounarea_6,five_axis_explicit,route_file_sha256,true,true,true,55,0,2,steer_ff_rad:used_beta_ref_rad;yaw_rate_ref_radps:derived_from_yaw_per_m_and_speed,"[""beta_ref_rad"",""dkappa_ds_1pm2"",""kappa_1pm"",""left_clearance_m"",""right_clearance_m"",""s_m"",""v_profile_mps"",""yaw_per_m_ref_1pm"",""z_m""]",true,SHANYU000_local
PG-SHANYU000-5618f7d508ec6ef2,5618f7d508ec6ef255e472cf093b45dd830e886b60bb384453493cb1d261ebe6,cliff_2,five_axis_explicit,route_file_sha256,true,true,true,55,0,2,steer_ff_rad:used_beta_ref_rad;yaw_rate_ref_radps:derived_from_yaw_per_m_and_speed,"[""beta_ref_rad"",""dkappa_ds_1pm2"",""kappa_1pm"",""left_clearance_m"",""right_clearance_m"",""s_m"",""v_profile_mps"",""yaw_per_m_ref_1pm"",""z_m""]",true,SHANYU000_local
PG-SHANYU000-5dfc4fa9d2ac2c08,5dfc4fa9d2ac2c08a7ffd6121909433816c58d9b5aa2da520ea3db4b47de5d9a,ramp_1,five_axis_explicit,route_file_sha256,true,true,true,55,0,2,steer_ff_rad:used_beta_ref_rad;yaw_rate_ref_radps:derived_from_yaw_per_m_and_speed,"[""beta_ref_rad"",""dkappa_ds_1pm2"",""kappa_1pm"",""left_clearance_m"",""right_clearance_m"",""s_m"",""v_profile_mps"",""yaw_per_m_ref_1pm"",""z_m""]",true,SHANYU000_local
