sample_id,route_file_sha256,map_id,vehicle_structure,vehicle_structure_evidence,vehicle_axis_count,label_status,true_label,route_id,match_status,candidate_file_available,npz_readable,source_machine,feature_version,exclusion_reason
UNMATCHED-SHANYU000-0004924ff51abba2,0004924ff51abba20d8b43ae08e6667129f1acd467b9f01dea68b6f3ef8ed79f,cross_3,six_axis,structural_inference,6,unmatched_candidate,,cross_3,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-000e98d67de0bbca,000e98d67de0bbca5b8f6a457f6ad5dcfd98babd240074ed00f5e69b8fc5e114,mounarea_1,five_axis,explicit,5,unmatched_candidate,,mounarea_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-002fca47365dd520,002fca47365dd520f5d6a656f6f90bbac4e742f191a9131b162b3ae7a9c00b89,overpass_2,unknown,unknown,,unmatched_candidate,,overpass_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-004f76f7aafac152,004f76f7aafac152729d69fcdafa38d0c936355554c8d5a5a46e37552588df7c,cross_3,six_axis,structural_inference,6,unmatched_candidate,,cross_3,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-00510a77a68bbff6,00510a77a68bbff66cbedb633cf462f86dea630618bef11118881f2cb0214c54,,six_axis,structural_inference,6,unmatched_candidate,,,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-008882fa406c1cfb,008882fa406c1cfb019d774dd126bb170b4931babcac3ed8c0b18dc442496f9a,overpass_1,six_axis,structural_inference,6,unmatched_candidate,,overpass_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-00b5bb47068617ac,00b5bb47068617acf42203c53bc22e0680c610c7403e0495388f6f893444efef,ramp_2,five_axis,explicit,5,unmatched_candidate,,ramp_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-00bd93f0572fb79c,00bd93f0572fb79ce72b93ab037a0b7cd9f76eb0a2defc7fd61aa9d6541bd727,narrow_4,five_axis,explicit,5,unmatched_candidate,,narrow_4,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-00cbcbf4b67bceda,00cbcbf4b67bceda0e363962fd928f0575b7e67331086879f1d506642b4a0cbb,cross_1,five_axis,explicit,5,unmatched_candidate,,cross_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-00e7aaa644c08f78,00e7aaa644c08f7810bdee7e04d185adadb5882c3ca8b5615123e0860713915f,turnaround_4,six_axis,structural_inference,6,unmatched_candidate,,turnaround_4,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-00edddf401e2ddbf,00edddf401e2ddbf90e16b58762c7d4f5207cbd7586eb246cfbeada2085008c6,overpass_2,six_axis,structural_inference,6,unmatched_candidate,,overpass_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-00f19c841140112b,00f19c841140112b510dd8a8d129669ba16189f164f98a19e35125ae751c26e4,cross_1,five_axis,explicit,5,unmatched_candidate,,cross_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-01069978ab452b4b,01069978ab452b4b59d73027b0bac37a1e219e03e3c8e727147aa56176b2f06a,ramp_2,five_axis,explicit,5,unmatched_candidate,,ramp_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-01158a689a5ea660,01158a689a5ea66024987f8ba1d27882ecc010fe81926f4b69fe476009fc6cd8,overpass_1,five_axis,explicit,5,unmatched_candidate,,overpass_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-011e33f0867dfd58,011e33f0867dfd58cff1d7e0862846520781034ed68099896ac401215165a943,cliff_3,five_axis,explicit,5,unmatched_candidate,,cliff_3,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-011fe7ea5588d2e5,011fe7ea5588d2e574f30eeb0314a50f5c8d5308945d2b21e034b3fe75e2ffaf,ramp_2,five_axis,explicit,5,unmatched_candidate,,ramp_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-012ad182614ce83f,012ad182614ce83fd42b55be19174a29281196c94659d7cb9943d3178c6833d1,ramp_2,five_axis,explicit,5,unmatched_candidate,,ramp_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-012db3a0ac0feb97,012db3a0ac0feb970115bd8e31f4844038e6e4925a7f98e9603385b334950428,overpass_1,five_axis,explicit,5,unmatched_candidate,,overpass_1,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-0133cebcd2abf8fa,0133cebcd2abf8fae5032e643159b50bbdbcd4c5b22e1bb38be4f20dde786fb5,mounarea_2,five_axis,explicit,5,unmatched_candidate,,mounarea_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-0151a60a0089df13,0151a60a0089df135dc9351f7e28fb03fd255961f45c3b1f1245aaa569812d65,overpass_2,five_axis,explicit,5,unmatched_candidate,,overpass_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
UNMATCHED-SHANYU000-0154c5a398c12560,0154c5a398c12560f0aec35ea50e16fa266441c084a416afe8b4014d91c5d9cb,cross_2,five_axis,explicit,5,unmatched_candidate,,cross_2,unmatched_candidate,true,true,SHANYU000_local,pathguard_preexec_v2.0.0,route_file_sha256_and_sample_id_not_found_in_v3
