sample_id,route_file_sha256,map_id,map_group,vehicle_structure,label_status,true_label,route_id,feature_version,feature_source,feature_missing_reason,vehicle_config_fingerprint_summary,match_method,main_table_eligible,npz_readable,feature_finite,numeric_feature_count,missing_feature_count,source_copy_count
PG-SHANYU000-01ceb4d030f51a16,01ceb4d030f51a16958b5ef781e78538e8d5f7d20d5443d4c36e4728a46c573a,narrow_4,narrow,five_axis_explicit,labeled,false,narrow_4,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=beta_ref_rad;yaw_rate=derived:v_profile_mps*kappa_1pm;yaw_accel=derived:yaw_rate/dt",,4ec13c407273a370,route_file_sha256,true,true,true,48,0,2
LOCAL-ZYJisBoss-04a1f40c70c74093,04a1f40c70c74093254541cfcfd4f546959f8a6bdd2f8da7846a492263dee2ba,bridge_4,other,six_axis_structural,unmatched_candidate,,bridge_4,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=steer_ff_rad;yaw_rate=yaw_rate_ref_radps;yaw_accel=yaw_accel_ref_radps2",,derived:4bed0b2ac296c412,unmatched_candidate,false,true,true,48,0,1
LOCAL-ZYJisBoss-0612666358035b0f,0612666358035b0f27fc0fd5abfc4ca7893a478cf2c5b5fa41e9d8e9addde0c2,mounarea_3,other,six_axis_structural,unmatched_candidate,,mounarea_3,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=steer_ff_rad;yaw_rate=yaw_rate_ref_radps;yaw_accel=yaw_accel_ref_radps2",,2e3182561ba5e89c,unmatched_candidate,false,true,true,48,0,1
LOCAL-ZYJisBoss-07c8050948749e67,07c8050948749e67805b60b6508aa4596e7be7fdb09e437ef5ebcc34c07c3aa6,turnaround_1,turnaround,six_axis_structural,unmatched_candidate,,turnaround_1,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=steer_ff_rad;yaw_rate=yaw_rate_ref_radps;yaw_accel=yaw_accel_ref_radps2",,derived:4bed0b2ac296c412,unmatched_candidate,false,true,true,48,0,1
LOCAL-ZYJisBoss-0dd0ad564cc7ec07,0dd0ad564cc7ec07abfe748a1a04a4e9db1023e19561382d933a17ac10eebc99,mounarea_6,other,six_axis_structural,unmatched_candidate,,mounarea_6,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=steer_ff_rad;yaw_rate=yaw_rate_ref_radps;yaw_accel=yaw_accel_ref_radps2",,4ec13c407273a370,unmatched_candidate,false,true,true,48,0,2
LOCAL-ZYJisBoss-0ebee5aa5b5e7bba,0ebee5aa5b5e7bba2a55ddd20f74bac278f680e573c7416afbda024864d74b7f,turnaround_2,turnaround,six_axis_structural,unmatched_candidate,,turnaround_2,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=steer_ff_rad;yaw_rate=yaw_rate_ref_radps;yaw_accel=yaw_accel_ref_radps2",,2e3182561ba5e89c,unmatched_candidate,false,true,true,48,0,1
LOCAL-ZYJisBoss-105cfd63bb37490a,105cfd63bb37490af24f8c2d568b9d4d7174afebe2939052ef7c3938ec350c63,overpass_1,overpass,six_axis_structural,unmatched_candidate,,overpass_1,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=steer_ff_rad;yaw_rate=yaw_rate_ref_radps;yaw_accel=yaw_accel_ref_radps2",,derived:4bed0b2ac296c412,unmatched_candidate,false,true,true,48,0,1
LOCAL-ZYJisBoss-16f7046c823273c4,16f7046c823273c4ad61bac99df90a45316277180ab0b99868dbcccfe20a0d9e,mounarea_2,other,six_axis_structural,unmatched_candidate,,mounarea_2,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=steer_ff_rad;yaw_rate=yaw_rate_ref_radps;yaw_accel=yaw_accel_ref_radps2",,derived:4bed0b2ac296c412,unmatched_candidate,false,true,true,48,0,1
LOCAL-ZYJisBoss-1ec33434bae3e9e5,1ec33434bae3e9e573473f579110b2449c08beb70fa5f6ebe84068a7226d5537,turnaround_4.before_steering_smoothing_20260824,turnaround,five_axis_explicit,unmatched_candidate,,turnaround_4.before_steering_smoothing_20260824,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=beta_ref_rad;yaw_rate=derived:v_profile_mps*kappa_1pm;yaw_accel=derived:yaw_rate/dt",,derived:42b0298a1586111b,unmatched_candidate,false,true,true,48,0,1
LOCAL-ZYJisBoss-2b110d3ed5565dfc,2b110d3ed5565dfcfdcf445d4f008c70930df7090b2e7b06ba15f04adec7a209,cross_4,cross,six_axis_structural,unmatched_candidate,,cross_4,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=steer_ff_rad;yaw_rate=yaw_rate_ref_radps;yaw_accel=yaw_accel_ref_radps2",,derived:4bed0b2ac296c412,unmatched_candidate,false,true,true,48,0,1
LOCAL-ZYJisBoss-309d95fbe41bd18a,309d95fbe41bd18a96d28db8343b3be51e3029e35100b5166dee8fbc964c0534,cross_1,cross,six_axis_structural,unmatched_candidate,,cross_1,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=steer_ff_rad;yaw_rate=yaw_rate_ref_radps;yaw_accel=yaw_accel_ref_radps2",,derived:4bed0b2ac296c412,unmatched_candidate,false,true,true,48,0,1
LOCAL-ZYJisBoss-32744a2b35c6ccc4,32744a2b35c6ccc40e9308e99f3f2c9ad1dbaa9f90fc2a22360fcbd8d4427392,ramp_2,ramp,six_axis_structural,unmatched_candidate,,ramp_2,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=steer_ff_rad;yaw_rate=yaw_rate_ref_radps;yaw_accel=yaw_accel_ref_radps2",,derived:4bed0b2ac296c412,unmatched_candidate,false,true,true,48,0,1
LOCAL-ZYJisBoss-32baf3b90b8ed961,32baf3b90b8ed961d9de762c3123969b1f22dd3f41bcfd1a40572253c8fbe088,ramp_2,ramp,five_axis_explicit,unmatched_candidate,,ramp_2,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=beta_ref_rad;yaw_rate=derived:v_profile_mps*kappa_1pm;yaw_accel=derived:yaw_rate/dt",,3e0eeb09caeac59c,unmatched_candidate,false,true,true,48,0,1
