sample_id,route_file_sha256,map_id,map_group,vehicle_structure,label_status,true_label,route_id,feature_version,feature_source,feature_missing_reason,vehicle_config_fingerprint_summary,route_length_m,point_count,sampling_spacing_mean_m,sampling_spacing_p50_m,sampling_spacing_p95_m,curvature_mean_1pm,curvature_abs_max_1pm,curvature_abs_p50_1pm,curvature_abs_p90_1pm,curvature_abs_p95_1pm,curvature_rate_abs_mean_1pm2,curvature_rate_abs_max_1pm2,curvature_rate_abs_p95_1pm2,grade_mean_ratio,grade_abs_max_ratio,grade_abs_p95_ratio,grade_change_abs_mean_1pm,grade_change_abs_max_1pm,grade_change_abs_p95_1pm,speed_mean_mps,speed_max_mps,speed_p50_mps,speed_p90_mps,speed_p95_mps,speed_curvature_abs_mean_radps,speed_curvature_abs_max_radps,speed_curvature_abs_p95_radps,speed_abs_curvature_corr,steering_ff_abs_mean_rad,steering_ff_abs_max_rad,steering_ff_abs_p50_rad,steering_ff_abs_p90_rad,steering_ff_abs_p95_rad,steering_ff_change_abs_mean_radpm,steering_ff_change_abs_max_radpm,steering_ff_change_abs_p95_radpm,yaw_rate_abs_mean_radps,yaw_rate_abs_max_radps,yaw_rate_abs_p95_radps,yaw_accel_abs_mean_radps2,yaw_accel_abs_max_radps2,yaw_accel_abs_p95_radps2,local20m_curvature_abs_max_1pm,local20m_steering_change_abs_max_rad,static_left_margin_min_m,static_right_margin_min_m,static_lr_margin_min_m,steering_vector_dimension
LOCAL-ZYJisBoss-04a1f40c70c74093,04a1f40c70c74093254541cfcfd4f546959f8a6bdd2f8da7846a492263dee2ba,bridge_4,other,six_axis_structural,unmatched_candidate,,bridge_4,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=steer_ff_rad;yaw_rate=yaw_rate_ref_radps;yaw_accel=yaw_accel_ref_radps2",,derived:4bed0b2ac296c412,214.821006738,1040,0.206757465581,0.199999999991,0.287337229809,0.000448002032922,0.132745316719,0.0101481525327,0.0241769836729,0.0391187815577,0.00466727270804,1.20225852067,0.00791624370844,-0.00150801593222,0.12024365358,0.0660114189898,0.00468355652835,0.258501963933,0.00904183634331,15.2647877416,22.8593396922,16.8726431466,20.0428269492,21.3883438771,0.150556124019,0.784052302703,0.350105743085,-0.556328165195,0.11304281318,0.969129208246,0.0621401292334,0.187554828204,0.549055559471,0.0368303050671,10.6507939884,0.0964653254861,0.134018003227,0.814859272895,0.345678186373,0.337217639461,43.0168989589,0.602529774005,0.132745316719,0.937345846009,2.35,2.90656444064,2.35,12
LOCAL-ZYJisBoss-0612666358035b0f,0612666358035b0f27fc0fd5abfc4ca7893a478cf2c5b5fa41e9d8e9addde0c2,mounarea_3,other,six_axis_structural,unmatched_candidate,,mounarea_3,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=steer_ff_rad;yaw_rate=yaw_rate_ref_radps;yaw_accel=yaw_accel_ref_radps2",,2e3182561ba5e89c,1589.8609026,7951,0.199982503472,0.2,0.2,0.00395894796007,0.0250133687837,0.00248367914958,0.00904830690898,0.0104370774873,0.000156463899935,0.00291795616711,0.000559564435496,0.0135848576211,0.0536663916554,0.0529735585044,0.000325115137143,0.0639582097701,0.00156697145475,30.5477134039,50,29.5491172022,42.6202809914,47.5202855305,0.0986476197315,0.390633995821,0.227980406904,-0.631975150185,0.0307691019113,0.193327112017,0.0188655969257,0.0692203498357,0.0799479345423,0.00120521807212,0.0226203517349,0.00430861502541,0.0970604082695,0.418441861302,0.230838948179,0.0823848744046,0.932303417972,0.291858908514,0.0250133687837,0.13090037594,2.4,2.4,2.4,12
LOCAL-ZYJisBoss-07c8050948749e67,07c8050948749e67805b60b6508aa4596e7be7fdb09e437ef5ebcc34c07c3aa6,turnaround_1,turnaround,six_axis_structural,unmatched_candidate,,turnaround_1,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=steer_ff_rad;yaw_rate=yaw_rate_ref_radps;yaw_accel=yaw_accel_ref_radps2",,derived:4bed0b2ac296c412,244.642182719,2035,0.120276392684,0.1,0.1,0.00301661968832,0.175372533679,3.55271367880e-14,7.10542735760e-14,0.000110458059463,0.0004649833099,0.029956838129,0.00012386422982,0,0,0,0,0,0,24.3802946672,40,24.4062887388,37.238792259,39.3630241847,0.0234639845554,1.05223520207,0.00142558422802,-0.330274272476,0.0239528210149,0.984,2.69018585186e-13,5.38037170372e-13,0.00131882878376,0.00244004688809,0.220819159784,5.44762635002e-12,0.0217576085125,0.950807018563,2.87580717604e-12,0.0256352516884,2.73144613584,1.06241528747e-9,0.175372533679,0.923098423498,3.39673432302,2.31614006239,2.31614006239,12
LOCAL-ZYJisBoss-0dd0ad564cc7ec07,0dd0ad564cc7ec07abfe748a1a04a4e9db1023e19561382d933a17ac10eebc99,mounarea_6,other,six_axis_structural,unmatched_candidate,,mounarea_6,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=steer_ff_rad;yaw_rate=yaw_rate_ref_radps;yaw_accel=yaw_accel_ref_radps2",,4ec13c407273a370,1083.5308964,5424,0.199802857534,0.19994455547,0.200069476599,-0.00418092329628,0.0316267472119,0.0033442736765,0.0166602889785,0.0187145184184,0.000224882481322,0.0033221967074,0.00115114007716,-0.0341173457046,337.095793239,0,0.673271806261,2064.23826421,0,23.5411938031,44.5833983595,21.9148097747,38.9086098657,41.3582152052,0.102026244909,0.410676732149,0.295238903139,-0.657461635694,0,0,0,0,0,0,0,0,0.100888491066,0.410676732149,0.29741603808,0,0,0,0.0316267472119,0,4.72655964436,4.43485058576,4.43485058576,10
LOCAL-ZYJisBoss-0ebee5aa5b5e7bba,0ebee5aa5b5e7bba2a55ddd20f74bac278f680e573c7416afbda024864d74b7f,turnaround_2,turnaround,six_axis_structural,unmatched_candidate,,turnaround_2,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=steer_ff_rad;yaw_rate=yaw_rate_ref_radps;yaw_accel=yaw_accel_ref_radps2",,2e3182561ba5e89c,370.698209837,1769,0.209670933166,0.199679544666,0.296221567381,0.00857862660637,0.193635535755,0.0103586104353,0.0170941398662,0.077300707262,0.00178615745076,0.0301442609645,0.00829999368019,0,0,0,0,0,0,16.4493521699,23.4369997216,18.7336042987,22.7107029363,23.3841823268,0.217822660061,1.14244966096,0.456074172846,-0.391615034616,0.122729674903,0.984,0.0739047548556,0.122180419361,0.618237753061,0.00881758646739,0.271995863878,0.0285457489941,0.207955303483,0.995699122392,0.479218136637,0.114714214606,1.28429880867,0.401368921377,0.193635535755,0.978672649062,2.9027976645,2.30056162693,2.30056162693,12
LOCAL-ZYJisBoss-105cfd63bb37490a,105cfd63bb37490af24f8c2d568b9d4d7174afebe2939052ef7c3938ec350c63,overpass_1,overpass,six_axis_structural,unmatched_candidate,,overpass_1,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=steer_ff_rad;yaw_rate=yaw_rate_ref_radps;yaw_accel=yaw_accel_ref_radps2",,derived:4bed0b2ac296c412,2054.30922371,10273,0.199991162744,0.2,0.2,-0.00127914867954,0.0477588100858,0.00179830264955,0.0121092610344,0.0135692400185,0.000184648606512,0.00390765502234,0.000741788164456,0.00361884663902,0.0424309391499,0.0416486050021,0.000168150357189,0.0614022717671,0.00108630574583,28.4105246921,50,27.1743534262,39.5056425706,45.688843109,0.0961123151665,0.512516773231,0.282452121059,-0.584765748887,0,0,0,0,0,0,0,0,0.096087360487,0.512516773231,0.282452121059,0,0,0,0.0477588100858,0,3.88669970803,3.88597259389,3.88597259389,12
LOCAL-ZYJisBoss-16f7046c823273c4,16f7046c823273c4ad61bac99df90a45316277180ab0b99868dbcccfe20a0d9e,mounarea_2,other,six_axis_structural,unmatched_candidate,,mounarea_2,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=steer_ff_rad;yaw_rate=yaw_rate_ref_radps;yaw_accel=yaw_accel_ref_radps2",,derived:4bed0b2ac296c412,468.683116313,2345,0.199950134946,0.2,0.2,0.00328950279025,0.0208291968038,0.00531538555043,0.0134636121898,0.0182477341976,0.000228031769619,0.00459657876003,0.000479309656863,0.038771295637,0.147764307182,0.098550040731,0.00148050076647,0.545139858285,0.0024672883127,24.1432618819,35.1914405425,24.5522572272,31.2545254764,33.149794648,0.134427002771,0.359247247116,0.328166055538,-0.466247077852,0,0,0,0,0,0,0,0,0.132991406654,0.359247247116,0.328166055538,0,0,0,0.0208291968038,0,4.30521992885,4.55221822444,4.30521992885,12
LOCAL-ZYJisBoss-1ec33434bae3e9e5,1ec33434bae3e9e573473f579110b2449c08beb70fa5f6ebe84068a7226d5537,turnaround_4.before_steering_smoothing_20260824,turnaround,five_axis_explicit,unmatched_candidate,,turnaround_4.before_steering_smoothing_20260824,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=beta_ref_rad;yaw_rate=derived:v_profile_mps*kappa_1pm;yaw_accel=derived:yaw_rate/dt",,derived:42b0298a1586111b,344.826048735,1761,0.195923891327,0.199942798105,0.20617652355,0.000709836600498,0.441787196781,0.0125514358336,0.0912094887397,0.13269242901,0.0144360264229,1.36904352684,0.0514121530023,0.0001098450168,0.669980154424,0,0.0114133530753,4.40304866152,0,8.00184384087,15,7.24912192944,13.3891592335,15,0.151490021068,1.76714878712,0.497400392973,-0.511429841845,0.0207638911793,0.284202235948,0,0.0890715533022,0.121474267066,0.00967134751035,1.48454473792,0.0576131828676,0.151490021068,1.76714878712,0.497400392973,0.290384567464,19.9238255987,0.952174058908,0.441787196781,0.284202235948,2.31045059433,2.30809312798,2.30809312798,1
LOCAL-ZYJisBoss-2b110d3ed5565dfc,2b110d3ed5565dfcfdcf445d4f008c70930df7090b2e7b06ba15f04adec7a209,cross_4,cross,six_axis_structural,unmatched_candidate,,cross_4,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=steer_ff_rad;yaw_rate=yaw_rate_ref_radps;yaw_accel=yaw_accel_ref_radps2",,derived:4bed0b2ac296c412,291.715348722,1460,0.199941979933,0.2,0.2,0.00514306749984,0.0618253084863,1.46708671219e-16,0.0178200541067,0.0588231085669,0.00058500073895,0.0127945304448,0.00442262882347,-2.23435187038e-11,0.0533544786681,0,0.000734291537908,0.0750848819645,0,22.7261953779,38.3877647552,23.4599577105,34.8728011135,37.5036493427,0.0541215835418,0.580602958612,0.568794327126,-0.51721707083,0.0434390783487,0.470876418896,1.11090740021e-15,0.137268625493,0.449389227475,0.00440686341546,0.0996153965027,0.0333999078801,0.0368860627723,0.401864505161,0.382350205685,0.0364634375622,2.58025994146,0.252589598035,0.0618253084863,0.469950064781,2.32504832427,4.45139533968,2.32504832427,12
LOCAL-ZYJisBoss-309d95fbe41bd18a,309d95fbe41bd18a96d28db8343b3be51e3029e35100b5166dee8fbc964c0534,cross_1,cross,six_axis_structural,unmatched_candidate,,cross_1,pathguard_preexec_v1,"npz:s_m,x_m,y_m,z_m,kappa_1pm,v_profile_mps,left_clearance_m,right_clearance_m;steering=steer_ff_rad;yaw_rate=yaw_rate_ref_radps;yaw_accel=yaw_accel_ref_radps2",,derived:4bed0b2ac296c412,341.65170287,1710,0.199913225787,0.2,0.2,-0.00306156880377,0.0524736205882,0.00012309302375,0.00628303369044,0.0317792449102,0.000359894541549,0.0122617894534,0.0020769785623,0,0,0,0,0,0,25.6518818248,43.0297108278,26.1766876951,39.0546927177,41.8464615489,0.0409199837084,0.537219601132,0.39574993993,-0.465279420646,0,0,0,0,0,0,0,0,0.0409201983235,0.537219601132,0.39574993993,0,0,0,0.0524736205882,0,4.22576183955,3.48374490563,3.48374490563,12
