sample_id,stored_route_path,route_file_sha256,route_size_bytes,vehicle_structure,vehicle_family,identity_evidence,vehicle_profile_id,vehicle_profile_fingerprint,vehicle_evidence_match_count,map,label_status,hard_certificate_passed,hard_failure_reasons,comparison_status,comparison_method,build_family,report_file_sha256,report_evidence_status,point_count,route_length_m,policy_id,selection_coverage
PG-SHANYU000-250b207fe1290aa9,data/frozen/raw_samples/SHANYU000/routes/PG-SHANYU000-250b207fe1290aa9__cliff_1__five_axis.npz,250b207fe1290aa927408af5427cf6e86d1cff6cfab66a1470f1524754e12f8f,107273,five_axis_explicit,five_axis,explicit_profile_id,five_axis,a4761dbb8643e682fc315aafcf673a1c5de706262b7339ee5a0eed909a280d3c,1384,cliff_1,labeled,1,[],confirmed_new_labeled,exact_route_file_sha256_vs_baseline_v1_359,grg_p5_5axis_adaptation_20260813,0bb918ff04d81c24710f11c01ae4207a33f3754cc7fea603b9b26733b315d11d,verified_hash_only_not_uploaded,678,135.27445143482623,,map:cliff_1;outcome:passed;status:confirmed_new_labeled;structure:five_axis_explicit
PG-SHANYU000-5618f7d508ec6ef2,data/frozen/raw_samples/SHANYU000/routes/PG-SHANYU000-5618f7d508ec6ef2__cliff_2__five_axis.npz,5618f7d508ec6ef255e472cf093b45dd830e886b60bb384453493cb1d261ebe6,407328,five_axis_explicit,five_axis,explicit_profile_id,five_axis,a4761dbb8643e682fc315aafcf673a1c5de706262b7339ee5a0eed909a280d3c,1384,cliff_2,labeled,1,[],confirmed_new_labeled,exact_route_file_sha256_vs_baseline_v1_359,grg_p5_5axis_adaptation_20260813,1df79e1f7997bc345141b7b9f02a079680dcb87c23c7838d50da94cc607422c0,verified_hash_only_not_uploaded,2895,578.752980016607,,map:cliff_2;outcome:passed;status:confirmed_new_labeled;structure:five_axis_explicit
PG-SHANYU000-07775005aa964d84,data/frozen/raw_samples/SHANYU000/routes/PG-SHANYU000-07775005aa964d84__cliff_3__five_axis.npz,07775005aa964d84321e46864e92c1e4af48b71ab3f2a590edcf9438342aea98,129222,five_axis_explicit,five_axis,explicit_profile_id,five_axis,4ec13c407273a370c01747c10ca81942fa98caab38073946be123042e1dd02b7,45,cliff_3,labeled,0,"[""maximum_slip_ratio"", ""maximum_tire_utilization""]",confirmed_new_labeled,exact_route_file_sha256_vs_baseline_v1_359,five_axis_generator_builds,a83e176c1ba6e8bd8bdfa130aaa9314f40f917c0ba27c74ff95a8a9711936e06,verified_hash_only_not_uploaded,1156,230.01593702547729,,failure:maximum_slip_ratio;failure:maximum_tire_utilization;map:cliff_3;status:confirmed_new_labeled;structure:five_axis_explicit
PG-SHANYU000-0f557750e4e0d4e8,data/frozen/raw_samples/SHANYU000/routes/PG-SHANYU000-0f557750e4e0d4e8__cliff_6__five_axis.npz,0f557750e4e0d4e824c89a2c5283b0a6bacae63bb5493cb4616fd2074c23b7f3,188924,five_axis_explicit,five_axis,explicit_profile_id,five_axis,4ec13c407273a370c01747c10ca81942fa98caab38073946be123042e1dd02b7,45,cliff_6,labeled,0,"[""maximum_slip_ratio"", ""maximum_tire_utilization""]",confirmed_new_labeled,exact_route_file_sha256_vs_baseline_v1_359,five_axis_generator_builds,7066519070067ae487cf1e9c530e2cebfea636c7ec565cdf193fd1e7e41ae321,verified_hash_only_not_uploaded,1373,273.69373471975666,,failure:maximum_slip_ratio;failure:maximum_tire_utilization;map:cliff_6;status:confirmed_new_labeled;structure:five_axis_explicit
PG-SHANYU000-ebc45237166654ef,data/frozen/raw_samples/SHANYU000/routes/PG-SHANYU000-ebc45237166654ef__cross_1__five_axis.npz,ebc45237166654efe2c45e416742d943b42e38fac326155542573d3314762070,188667,five_axis_explicit,five_axis,explicit_profile_id,five_axis,a4761dbb8643e682fc315aafcf673a1c5de706262b7339ee5a0eed909a280d3c,1384,cross_1,labeled,0,"[""closed_loop_heightmap_footprint"", ""closed_loop_pcd_clearance"", ""closed_loop_txt_clearance""]",confirmed_new_labeled,exact_route_file_sha256_vs_baseline_v1_359,grg_p5_5axis_adaptation_20260813,bb93602c07558e9888f4dd4885e05e666b5fa7dea6a79f69138340cdb9039a7d,verified_hash_only_not_uploaded,1705,338.365322793884,,failure:closed_loop_heightmap_footprint;failure:closed_loop_pcd_clearance;failure:closed_loop_txt_clearance;map:cross_1;status:confirmed_new_labeled;structure:five_axis_explicit
PG-SHANYU000-749542bdaadd6d09,data/frozen/raw_samples/SHANYU000/routes/PG-SHANYU000-749542bdaadd6d09__cross_2__five_axis.npz,749542bdaadd6d096fa688764548706ab42091fc1ee63a8031a2a21523bec176,134355,five_axis_explicit,five_axis,explicit_profile_id,five_axis,a4761dbb8643e682fc315aafcf673a1c5de706262b7339ee5a0eed909a280d3c,1384,cross_2,labeled,0,"[""closed_loop_pcd_clearance"", ""closed_loop_txt_clearance"", ""maximum_slip_ratio"", ""maximum_tire_utilization""]",confirmed_new_labeled,exact_route_file_sha256_vs_baseline_v1_359,grg_p5_5axis_adaptation_20260813,0145df7719ded57b21891d3df38eafc751ef6fc1f189b4bfd85d5dcb7ce372a0,verified_hash_only_not_uploaded,1718,343.93728685426606,,failure:closed_loop_pcd_clearance;failure:closed_loop_txt_clearance;failure:maximum_slip_ratio;failure:maximum_tire_utilization;map:cross_2;status:confirmed_new_labeled;structure:five_axis_explicit
PG-SHANYU000-9b865d34114e5806,data/frozen/raw_samples/SHANYU000/routes/PG-SHANYU000-9b865d34114e5806__cross_3__six_axis.npz,9b865d34114e58062de6cd535a8745aa86c73d8b6c4546b3451aa878239b8bb5,77542,six_axis_structural,six_axis,steer_vector_dimension,,,0,cross_3,labeled,0,"[""closed_loop_heightmap_footprint"", ""maximum_slip_ratio"", ""maximum_tire_utilization""]",confirmed_new_labeled,exact_route_file_sha256_vs_baseline_v1_359,_runs,6f401aae2ca59d74e180b0cd852716b7186b75d2ac7fc499aaaffa6b5dde08de,verified_hash_only_not_uploaded,1926,384.96353112830957,,failure:closed_loop_heightmap_footprint;failure:maximum_slip_ratio;failure:maximum_tire_utilization;map:cross_3;status:confirmed_new_labeled;structure:six_axis_structural
PG-SHANYU000-d070ecb1b1784582,data/frozen/raw_samples/SHANYU000/routes/PG-SHANYU000-d070ecb1b1784582__cross_4__six_axis.npz,d070ecb1b17845828c86995f1e22d988dec6da2e58739fe0e35a1f7fcd34072e,60109,six_axis_structural,six_axis,steer_vector_dimension,,,0,cross_4,labeled,1,[],confirmed_new_labeled,exact_route_file_sha256_vs_baseline_v1_359,_runs,eaf4a97fe466775173d466ee467b9e783ef5b72fff8751270e07572ac9ce655c,verified_hash_only_not_uploaded,1592,317.9315743494679,,map:cross_4;outcome:passed;status:confirmed_new_labeled;structure:six_axis_structural
PG-SHANYU000-8e98bf755307f34d,data/frozen/raw_samples/SHANYU000/routes/PG-SHANYU000-8e98bf755307f34d__mounarea_1__five_axis.npz,8e98bf755307f34db873c9ca82893c9b8c4c9873ae3ff8b58c75d2ccaac72c3f,713556,five_axis_explicit,five_axis,explicit_profile_id,five_axis,a4761dbb8643e682fc315aafcf673a1c5de706262b7339ee5a0eed909a280d3c,1384,mounarea_1,labeled,0,"[""closed_loop_heightmap_footprint"", ""closed_loop_pcd_clearance"", ""closed_loop_txt_clearance"", ""maximum_slip_ratio"", ""maximum_tire_utilization"", ""route_not_completed""]",confirmed_new_labeled,exact_route_file_sha256_vs_baseline_v1_359,grg_p5_5axis_adaptation_20260813,ac708b61f6ef6c59f0dd2bf60754af9e295025c4a3545bde78aaee216f04de26,verified_hash_only_not_uploaded,4635,928.2416355229177,,failure:closed_loop_heightmap_footprint;failure:closed_loop_pcd_clearance;failure:closed_loop_txt_clearance;failure:maximum_slip_ratio;failure:maximum_tire_utilization;failure:route_not_completed;map:mounarea_1;status:confirmed_new_labeled;structure:five_axis_explicit
PG-SHANYU000-3c67efb459a865b1,data/frozen/raw_samples/SHANYU000/routes/PG-SHANYU000-3c67efb459a865b1__mounarea_2__five_axis.npz,3c67efb459a865b10dfef69caed11409258bb2b05f74cea10ca967212ce06dfb,365694,five_axis_explicit,five_axis,explicit_profile_id,five_axis,a4761dbb8643e682fc315aafcf673a1c5de706262b7339ee5a0eed909a280d3c,1384,mounarea_2,labeled,0,"[""closed_loop_heightmap_footprint"", ""closed_loop_pcd_clearance"", ""closed_loop_txt_clearance"", ""maximum_slip_ratio"", ""maximum_tire_utilization""]",confirmed_new_labeled,exact_route_file_sha256_vs_baseline_v1_359,grg_p5_5axis_adaptation_20260813,a8726ef4dd074574cc37025d13654452fa93cd400d3d5b5d8076cffb9699b44c,verified_hash_only_not_uploaded,2350,470.89816977561793,,failure:closed_loop_heightmap_footprint;failure:closed_loop_pcd_clearance;failure:closed_loop_txt_clearance;failure:maximum_slip_ratio;failure:maximum_tire_utilization;map:mounarea_2;status:confirmed_new_labeled;structure:five_axis_explicit
