method,group,budget,n,failures,selected,captured,precision_at_k,capture_rate,random_expected_captured,random_expected_capture_rate,roc_auc,pr_auc
model,overall,10,66,39,10,8,0.8,0.20512820512820512,5.909090909090909,0.15151515151515152,0.6149097815764483,0.6993672651546683
model,overall,20,66,39,20,17,0.85,0.4358974358974359,11.818181818181818,0.30303030303030304,0.6149097815764483,0.6993672651546683
model,overall,34,66,39,34,24,0.7058823529411765,0.6153846153846154,20.09090909090909,0.5151515151515151,0.6149097815764483,0.6993672651546683
model,map:map_002,10,27,22,10,8,0.8,0.36363636363636365,8.148148148148149,0.37037037037037035,0.45,0.772485384985385
model,map:map_002,20,27,22,20,17,0.85,0.7727272727272727,16.296296296296298,0.7407407407407407,0.45,0.772485384985385
model,map:map_002,34,27,22,27,22,0.8148148148148148,1.0,22.0,1.0,0.45,0.772485384985385
model,map:map_008,10,8,4,8,4,0.5,1.0,4.0,1.0,0.0625,0.37797619047619047
model,map:map_008,20,8,4,8,4,0.5,1.0,4.0,1.0,0.0625,0.37797619047619047
model,map:map_008,34,8,4,8,4,0.5,1.0,4.0,1.0,0.0625,0.37797619047619047
model,map:map_016,10,6,5,6,5,0.8333333333333334,1.0,5.0,1.0,0.0,0.72
model,map:map_016,20,6,5,6,5,0.8333333333333334,1.0,5.0,1.0,0.0,0.72
model,map:map_016,34,6,5,6,5,0.8333333333333334,1.0,5.0,1.0,0.0,0.72
model,map:map_019,10,17,8,10,4,0.4,0.5,4.705882352941177,0.5882352941176471,0.4027777777777778,0.4293342074592075
model,map:map_019,20,17,8,17,8,0.47058823529411764,1.0,8.0,1.0,0.4027777777777778,0.4293342074592075
model,map:map_019,34,17,8,17,8,0.47058823529411764,1.0,8.0,1.0,0.4027777777777778,0.4293342074592075
model,map:map_020,10,8,0,8,0,0.0,,0.0,,,
model,map:map_020,20,8,0,8,0,0.0,,0.0,,,
model,map:map_020,34,8,0,8,0,0.0,,0.0,,,
model,structure:five_axis,10,9,6,9,6,0.6666666666666666,1.0,6.0,1.0,0.5,0.6964285714285715
model,structure:five_axis,20,9,6,9,6,0.6666666666666666,1.0,6.0,1.0,0.5,0.6964285714285715
model,structure:five_axis,34,9,6,9,6,0.6666666666666666,1.0,6.0,1.0,0.5,0.6964285714285715
model,structure:six_axis,10,27,21,10,8,0.8,0.38095238095238093,7.777777777777778,0.37037037037037035,0.5436507936507936,0.7672408279551136
model,structure:six_axis,20,27,21,20,17,0.85,0.8095238095238095,15.555555555555555,0.7407407407407407,0.5436507936507936,0.7672408279551136
model,structure:six_axis,34,27,21,27,21,0.7777777777777778,1.0,21.0,1.0,0.5436507936507936,0.7672408279551136
model,structure:unknown,10,30,12,10,3,0.3,0.25,4.0,0.3333333333333333,0.3055555555555556,0.32218360228644555
model,structure:unknown,20,30,12,20,6,0.3,0.5,8.0,0.6666666666666666,0.3055555555555556,0.32218360228644555
model,structure:unknown,34,30,12,30,12,0.4,1.0,12.0,1.0,0.3055555555555556,0.32218360228644555
frozen_geometry_rule,overall,10,66,39,10,8,0.8,0.20512820512820512,5.909090909090909,0.15151515151515152,0.6533713200379867,0.7116435487930847
frozen_geometry_rule,overall,20,66,39,20,15,0.75,0.38461538461538464,11.818181818181818,0.30303030303030304,0.6533713200379867,0.7116435487930847
frozen_geometry_rule,overall,34,66,39,34,27,0.7941176470588235,0.6923076923076923,20.09090909090909,0.5151515151515151,0.6533713200379867,0.7116435487930847
frozen_geometry_rule,map:map_002,10,27,22,10,8,0.8,0.36363636363636365,8.148148148148149,0.37037037037037035,0.3181818181818182,0.7444540938208262
frozen_geometry_rule,map:map_002,20,27,22,20,15,0.75,0.6818181818181818,16.296296296296298,0.7407407407407407,0.3181818181818182,0.7444540938208262
frozen_geometry_rule,map:map_002,34,27,22,27,22,0.8148148148148148,1.0,22.0,1.0,0.3181818181818182,0.7444540938208262
frozen_geometry_rule,map:map_008,10,8,4,8,4,0.5,1.0,4.0,1.0,0.0625,0.37797619047619047
frozen_geometry_rule,map:map_008,20,8,4,8,4,0.5,1.0,4.0,1.0,0.0625,0.37797619047619047
frozen_geometry_rule,map:map_008,34,8,4,8,4,0.5,1.0,4.0,1.0,0.0625,0.37797619047619047
frozen_geometry_rule,map:map_016,10,6,5,6,5,0.8333333333333334,1.0,5.0,1.0,0.2,0.8166666666666667
frozen_geometry_rule,map:map_016,20,6,5,6,5,0.8333333333333334,1.0,5.0,1.0,0.2,0.8166666666666667
frozen_geometry_rule,map:map_016,34,6,5,6,5,0.8333333333333334,1.0,5.0,1.0,0.2,0.8166666666666667
frozen_geometry_rule,map:map_019,10,17,8,10,5,0.5,0.625,4.705882352941177,0.5882352941176471,0.4583333333333333,0.4500766594516595
frozen_geometry_rule,map:map_019,20,17,8,17,8,0.47058823529411764,1.0,8.0,1.0,0.4583333333333333,0.4500766594516595
frozen_geometry_rule,map:map_019,34,17,8,17,8,0.47058823529411764,1.0,8.0,1.0,0.4583333333333333,0.4500766594516595
frozen_geometry_rule,map:map_020,10,8,0,8,0,0.0,,0.0,,,
frozen_geometry_rule,map:map_020,20,8,0,8,0,0.0,,0.0,,,
frozen_geometry_rule,map:map_020,34,8,0,8,0,0.0,,0.0,,,
frozen_geometry_rule,structure:five_axis,10,9,6,9,6,0.6666666666666666,1.0,6.0,1.0,1.0,1.0
frozen_geometry_rule,structure:five_axis,20,9,6,9,6,0.6666666666666666,1.0,6.0,1.0,1.0,1.0
frozen_geometry_rule,structure:five_axis,34,9,6,9,6,0.6666666666666666,1.0,6.0,1.0,1.0,1.0
frozen_geometry_rule,structure:six_axis,10,27,21,10,8,0.8,0.38095238095238093,7.777777777777778,0.37037037037037035,0.4365079365079365,0.7396790818728014
frozen_geometry_rule,structure:six_axis,20,27,21,20,15,0.75,0.7142857142857143,15.555555555555555,0.7407407407407407,0.4365079365079365,0.7396790818728014
frozen_geometry_rule,structure:six_axis,34,27,21,27,21,0.7777777777777778,1.0,21.0,1.0,0.4365079365079365,0.7396790818728014
frozen_geometry_rule,structure:unknown,10,30,12,10,2,0.2,0.16666666666666666,4.0,0.3333333333333333,0.21759259259259256,0.29150453062066334
frozen_geometry_rule,structure:unknown,20,30,12,20,5,0.25,0.4166666666666667,8.0,0.6666666666666666,0.21759259259259256,0.29150453062066334
frozen_geometry_rule,structure:unknown,34,30,12,30,12,0.4,1.0,12.0,1.0,0.21759259259259256,0.29150453062066334
minimum_clearance,overall,10,66,39,10,8,0.8,0.20512820512820512,5.909090909090909,0.15151515151515152,0.560303893637227,0.6471210047762554
minimum_clearance,overall,20,66,39,20,10,0.5,0.2564102564102564,11.818181818181818,0.30303030303030304,0.560303893637227,0.6471210047762554
minimum_clearance,overall,34,66,39,34,22,0.6470588235294118,0.5641025641025641,20.09090909090909,0.5151515151515151,0.560303893637227,0.6471210047762554
minimum_clearance,map:map_002,10,27,22,10,8,0.8,0.36363636363636365,8.148148148148149,0.37037037037037035,0.3727272727272727,0.7922558922558923
minimum_clearance,map:map_002,20,27,22,20,16,0.8,0.7272727272727273,16.296296296296298,0.7407407407407407,0.3727272727272727,0.7922558922558923
minimum_clearance,map:map_002,34,27,22,27,22,0.8148148148148148,1.0,22.0,1.0,0.3727272727272727,0.7922558922558923
minimum_clearance,map:map_008,10,8,4,8,4,0.5,1.0,4.0,1.0,0.125,0.4125
minimum_clearance,map:map_008,20,8,4,8,4,0.5,1.0,4.0,1.0,0.125,0.4125
minimum_clearance,map:map_008,34,8,4,8,4,0.5,1.0,4.0,1.0,0.125,0.4125
minimum_clearance,map:map_016,10,6,5,6,5,0.8333333333333334,1.0,5.0,1.0,0.0,0.7166666666666667
minimum_clearance,map:map_016,20,6,5,6,5,0.8333333333333334,1.0,5.0,1.0,0.0,0.7166666666666667
minimum_clearance,map:map_016,34,6,5,6,5,0.8333333333333334,1.0,5.0,1.0,0.0,0.7166666666666667
minimum_clearance,map:map_019,10,17,8,10,4,0.4,0.5,4.705882352941177,0.5882352941176471,0.4375,0.44624305433128963
minimum_clearance,map:map_019,20,17,8,17,8,0.47058823529411764,1.0,8.0,1.0,0.4375,0.44624305433128963
minimum_clearance,map:map_019,34,17,8,17,8,0.47058823529411764,1.0,8.0,1.0,0.4375,0.44624305433128963
minimum_clearance,map:map_020,10,8,0,8,0,0.0,,0.0,,,
minimum_clearance,map:map_020,20,8,0,8,0,0.0,,0.0,,,
minimum_clearance,map:map_020,34,8,0,8,0,0.0,,0.0,,,
minimum_clearance,structure:five_axis,10,9,6,9,6,0.6666666666666666,1.0,6.0,1.0,0.7777777777777778,0.9166666666666665
minimum_clearance,structure:five_axis,20,9,6,9,6,0.6666666666666666,1.0,6.0,1.0,0.7777777777777778,0.9166666666666665
minimum_clearance,structure:five_axis,34,9,6,9,6,0.6666666666666666,1.0,6.0,1.0,0.7777777777777778,0.9166666666666665
minimum_clearance,structure:six_axis,10,27,21,10,7,0.7,0.3333333333333333,7.777777777777778,0.37037037037037035,0.3650793650793651,0.7374338624338624
minimum_clearance,structure:six_axis,20,27,21,20,16,0.8,0.7619047619047619,15.555555555555555,0.7407407407407407,0.3650793650793651,0.7374338624338624
minimum_clearance,structure:six_axis,34,27,21,27,21,0.7777777777777778,1.0,21.0,1.0,0.3650793650793651,0.7374338624338624
minimum_clearance,structure:unknown,10,30,12,10,3,0.3,0.25,4.0,0.3333333333333333,0.39351851851851855,0.3554627532149462
minimum_clearance,structure:unknown,20,30,12,20,8,0.4,0.6666666666666666,8.0,0.6666666666666666,0.39351851851851855,0.3554627532149462
minimum_clearance,structure:unknown,34,30,12,30,12,0.4,1.0,12.0,1.0,0.39351851851851855,0.3554627532149462
