sample_id,readable,point_count,reason,max_distance_error_m,left_side_fraction,right_side_fraction,ordered_cross_section_fraction,boundary_to_center_step_ratio_p99_9,boundary_to_center_step_ratio_max,distance_semantics_pass,left_side_orientation_pass,right_side_orientation_pass,left_right_order_pass,continuity_screen_pass,integrity_screen_pass
sample_8032fcaf806c7d5bd51f,True,1152,,3.197442310920451e-14,1.0,1.0,1.0,2.91192042012413,3.0466054173160044,True,True,True,True,True,True
sample_30e5deb5d00fd67a761c,True,1152,,3.197442310920451e-14,1.0,1.0,1.0,2.91192042012413,3.0466054173160044,True,True,True,True,True,True
sample_4b623e19e1b8198306b9,True,1152,,3.197442310920451e-14,1.0,1.0,1.0,2.91192042012413,3.0466054173160044,True,True,True,True,True,True
sample_76560ac3127240b1558f,True,1946,,7.105427357601002e-15,1.0,1.0,1.0,10.879182625329946,79.80881307393076,True,True,True,True,False,False
sample_aacd72dcf6d87c0f3381,True,1460,,3.552713678800501e-15,1.0,1.0,1.0,10.87235221688331,44.183360495767744,True,True,True,True,False,False
sample_28a59c1806b6039cab0e,True,7943,,3.907985046680551e-14,1.0,1.0,1.0,3.336424088640989,3.369183676711337,True,True,True,True,False,False
sample_907bdd4df3e22a817925,True,7943,,3.907985046680551e-14,1.0,1.0,1.0,3.336424088640989,3.369183676711337,True,True,True,True,False,False
sample_623c4336f2b10ed53349,True,7943,,3.907985046680551e-14,1.0,1.0,1.0,3.336424088640989,3.369183676711337,True,True,True,True,False,False
sample_70bf3a37a812269a7058,True,7943,,3.907985046680551e-14,1.0,1.0,1.0,3.336424088640989,3.369183676711337,True,True,True,True,False,False
sample_d4af17d31abac9e4ec8b,True,6734,,5.773159728050814e-14,1.0,1.0,1.0,10.063852198835567,73.56207447972662,True,True,True,True,False,False
sample_8729a86163945f79f015,True,6734,,5.773159728050814e-14,1.0,1.0,1.0,10.063852198835567,73.56207447972662,True,True,True,True,False,False
sample_ea89c1072be520065f53,True,6734,,5.773159728050814e-14,1.0,1.0,1.0,10.063852198835567,73.56207447972662,True,True,True,True,False,False
sample_00dfaf0f03ccde511f8a,True,6734,,5.773159728050814e-14,1.0,1.0,1.0,10.063852198835567,73.56207447972662,True,True,True,True,False,False
sample_a7e2e9e580bac9060226,True,6734,,5.773159728050814e-14,1.0,1.0,1.0,10.063852198835567,73.56207447972662,True,True,True,True,False,False
sample_3143a44e5b9881d1da3a,True,6734,,5.773159728050814e-14,1.0,1.0,1.0,10.063852198835567,73.56207447972662,True,True,True,True,False,False
sample_3a72dc34f9f964d7aa57,True,6734,,5.773159728050814e-14,1.0,1.0,1.0,10.063852198835567,73.56207447972662,True,True,True,True,False,False
sample_6d35e696453c1a3c988a,True,6734,,5.773159728050814e-14,1.0,1.0,1.0,10.063852198835567,73.56207447972662,True,True,True,True,False,False
sample_35f79e5f11d6c524f058,True,6734,,5.773159728050814e-14,1.0,1.0,1.0,10.063852198835567,73.56207447972662,True,True,True,True,False,False
sample_276a67c2e91aad3d1841,True,6734,,5.773159728050814e-14,1.0,1.0,1.0,10.063852198835567,73.56207447972662,True,True,True,True,False,False
sample_716e4a48a4d5cf30402f,True,6734,,5.773159728050814e-14,1.0,1.0,1.0,10.063852198835567,73.56207447972662,True,True,True,True,False,False
sample_1bafe73d4bdad6cd06c4,True,6734,,5.773159728050814e-14,1.0,1.0,1.0,10.063852198835567,73.56207447972662,True,True,True,True,False,False
sample_c1381d01f286df2ee7d9,True,1769,,1.4210854715202004e-14,1.0,1.0,1.0,23.14530471246361,119.03770360084366,True,True,True,True,False,False
sample_45e8e7cd9a139dbf0cff,True,1769,,1.4210854715202004e-14,1.0,1.0,1.0,23.14530471246361,119.03770360084366,True,True,True,True,False,False
sample_8726556fd05b2d21b297,True,1769,,1.4210854715202004e-14,1.0,1.0,1.0,23.14530471246361,119.03770360084366,True,True,True,True,False,False
sample_0759268263cdc5ce10c7,True,1761,,1.3766765505351941e-14,1.0,1.0,1.0,68.01814181163557,145.36441679682716,True,True,True,True,False,False
sample_36dbc890c0019f75b4b3,True,1761,,1.3766765505351941e-14,1.0,1.0,1.0,68.00788733567407,145.36785898040537,True,True,True,True,False,False
