sample_id,route_file_sha256,map_id,route_id,label_status,true_label,vehicle_structure,vehicle_structure_evidence,vehicle_axis_count,source_machine,match_status,vehicle_configuration_fingerprint_summary,feature_version,feature_source,feature_missing_reason,route_length_m,point_count,sampling_spacing_mean_m,sampling_spacing_median_m,sampling_spacing_p95_m,curvature_mean_1pm,curvature_abs_mean_1pm,curvature_abs_max_1pm,curvature_abs_p50_1pm,curvature_abs_p90_1pm,curvature_abs_p95_1pm,curvature_abs_p99_1pm,curvature_change_abs_mean_1pm2,curvature_change_abs_max_1pm2,curvature_change_abs_p95_1pm2,slope_mean,slope_abs_mean,slope_abs_max,slope_abs_p95,slope_change_abs_mean_1pm,slope_change_abs_max_1pm,slope_change_abs_p95_1pm,speed_mean_mps,speed_max_mps,speed_p50_mps,speed_p90_mps,speed_p95_mps,speed_abs_curvature_product_mean_mpspm,speed_abs_curvature_product_p95_mpspm,lateral_accel_proxy_mean_mps2,lateral_accel_proxy_max_mps2,lateral_accel_proxy_p95_mps2,speed_abs_curvature_correlation,steer_abs_mean_rad,steer_abs_max_rad,steer_abs_p50_rad,steer_abs_p90_rad,steer_abs_p95_rad,steer_change_abs_mean_radpm,steer_change_abs_max_radpm,steer_change_abs_p95_radpm,yaw_rate_abs_mean_radps,yaw_rate_abs_max_radps,yaw_rate_abs_p95_radps,yaw_rate_change_abs_mean_radps_per_m,yaw_rate_change_abs_max_radps_per_m,yaw_rate_change_abs_p95_radps_per_m,static_left_clearance_min_m,static_right_clearance_min_m,static_boundary_clearance_min_m,window10m_max_mean_abs_curvature_1pm,window10m_max_mean_abs_steer_change_radpm,window10m_min_mean_left_clearance_m,window10m_min_mean_right_clearance_m,steering_source_dim,model_score,frozen_geometry_rule_score,minimum_clearance_score
sample_08791d869a1dcd8084bc,08a5cefdbe0cd5db3438f98e0b70eed36057749e0b4387e726779c446dca1dfd,map_002,map_002,final,0,six_axis,explicit,6.0,RECOVERED_LOCAL_local,v3_exact_match,d46c9e86aea3de5c,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,,215.24718946308448,1078,0.1998581146361044,0.2000000000000028,0.200000000000017,-3.388961311121146e-05,0.0142112698684595,0.0850514553387196,0.0096870192136716,0.0344834902895347,0.0614075305661296,0.083049953670501,0.0016869829013178,0.0119632880741968,0.008984892707393,-6.838479483776474e-17,0.0275828399812661,0.704617138205204,0.0667093148596647,0.0204093001629426,1.3063907493351086,0.0486422087518401,16.330027422942464,26.71651481540253,19.21703263026506,24.174598454303577,26.432761205652444,0.177929631875383,0.4770306464306981,2.706388840902701,6.03755518638007,5.898394175779597,-0.4619999897249896,0.132635311539279,0.8897700838922014,0.0855393865323398,0.3436196201088747,0.5504579447332946,0.0279563749570658,0.5219180019319734,0.1645506308114703,0.1725390158415458,0.740211762025771,0.3443166644833626,0.0308223620355563,0.383919737197141,0.1609868037426437,2.5109482862687296,2.617690825316477,2.5109482862687296,0.0730068168697761,0.1835934505645438,2.513485903189061,2.8501183110683552,12,0.70337105,0.8122262773722628,-2.5109482862687296
sample_0fb98d53ec7070ae8d88,2dad3655798a4362f04bdf78d37693687014c5379127c7f4de8cbd69ad77c91d,map_002,map_002,final,0,six_axis,explicit,6.0,RECOVERED_LOCAL_local,v3_exact_match,d46c9e86aea3de5c,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,,215.24718946308448,1078,0.1998581146361044,0.2000000000000028,0.200000000000017,-3.388961311121146e-05,0.0142112698684595,0.0850514553387196,0.0096870192136716,0.0344834902895347,0.0614075305661296,0.083049953670501,0.0016869829013178,0.0119632880741968,0.008984892707393,-6.838479483776474e-17,0.0275828399812661,0.704617138205204,0.0667093148596647,0.0204093001629426,1.3063907493351086,0.0486422087518401,16.330027422942464,26.71651481540253,19.21703263026506,24.174598454303577,26.432761205652444,0.177929631875383,0.4770306464306981,2.706388840902701,6.03755518638007,5.898394175779597,-0.4619999897249896,0.132635311539279,0.8897700838922014,0.0855393865323398,0.3436196201088747,0.5504579447332946,0.0279563749570658,0.5219180019319734,0.1645506308114703,0.1725390158415458,0.740211762025771,0.3443166644833626,0.0308223620355563,0.383919737197141,0.1609868037426437,2.5109482862687296,2.617690825316477,2.5109482862687296,0.0730068168697761,0.1835934505645438,2.513485903189061,2.8501183110683552,12,0.70337105,0.8122262773722628,-2.5109482862687296
sample_1457c0c45167b411e8ed,fa249b831899f60110cb3136b4b57fad69fa5567bfbb61c50985e041286a732a,map_002,map_002,final,0,six_axis,explicit,6.0,RECOVERED_LOCAL_local,v3_exact_match,d46c9e86aea3de5c,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,,212.38138547425845,1063,0.1999824721979834,0.2000000000000028,0.200000000000017,0.0004229310486121,0.018497826529401,0.1302487252932449,0.0124468420329026,0.0501813387857036,0.0696535496216832,0.1007207254504947,0.0061910378698243,0.0885569517840305,0.0350899811471864,-1.6710788705552686e-18,0.0243836312589733,0.2313845043637473,0.0594221982954356,0.0046235818595884,0.1666726301658342,0.0216843055783618,15.986126236888133,26.712399712447937,19.23472427071429,24.202548054323373,26.305198640850037,0.1859689158279456,0.3865332597897705,2.69276431519782,6.039940639159516,5.901282800143996,-0.6716661051276063,0.1215641533234718,0.9236579289217026,0.0875588336630522,0.3281362664515713,0.4457447117762133,0.0271979073342376,1.9908007351173216,0.0997829635111227,0.1545193126277759,0.4039797011033215,0.3060124111731112,0.0199668422109119,1.095394068812505,0.0775799549296531,2.4,2.4,2.4,0.0739682962074933,1.250250982220226,2.3999999999999773,2.3999999999999773,12,0.72575392,0.8261354420113545,-2.4
sample_182fdf2a794196bf15b9,d2cefec96df7b01bf5c082fbd68ddaf79fe6bbd5376b48327bdd29b3aa1a3a0e,map_019,map_019,final,0,unknown,unknown,,RECOVERED_LOCAL_local,v3_exact_match,derived-1c6f954ff7dc8568,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,,858.5933077741987,4294,0.1999984411307241,0.1999999999999886,0.2000000000000454,0.0006586550748539,0.0019195149543572,0.020703761517277,0.0004921713348953,0.0054289300872351,0.0106126880853971,0.0203657951156837,0.0001468278244777,0.0015069802118564,0.0006583262301566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.369309599807515,38.39742463663908,30.03799208405218,35.19289020796004,36.53110955515592,0.0402878419005263,0.2330849671754286,0.8849972083282457,6.200000096432691,4.901947479005311,-0.5393874566092011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0402747383926835,0.3582782749311355,0.2330849671754286,0.0033841371696126,0.0275401753982948,0.0125016122783277,3.4234551408751086,2.678849950242638,2.678849950242638,0.020534278892576,0.0,3.5063954922799323,2.6851339811525032,12,0.5353307,0.35099351175993504,-2.678849950242638
sample_1f31e4204a2260fc6406,3246e67e7fa623dd289ab7e776fcc9f07e35fbf851e8f0bd500ea6fb9f8f5568,map_008,map_008,final,0,unknown,unknown,,RECOVERED_LOCAL_local,v3_exact_match,derived-1c6f954ff7dc8568,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,,344.8953893557044,1726,0.1999393561482344,0.1999999999999957,0.2000000000000454,0.0045505561046477,0.0047864381976591,0.0947334852095608,0.0001446581777172,0.0062484719695274,0.0346129182135858,0.0934165372670997,0.0006460761660265,0.0176003356299325,0.0035249341812733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.90947756908623,43.636342648433846,25.450628192375262,39.66798534039432,42.439799474599695,0.0402070685546153,0.2566716368659215,0.3949652320026012,5.186676638309357,1.9034341701387976,-0.438048805335009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0401986860205492,0.6988665961188275,0.2566716368659215,0.0056309602683678,0.1522274038915134,0.0261708761472608,4.875439361297101,4.724651415513414,4.724651415513414,0.0912827405735311,0.0,4.969770565163183,4.760698758611477,12,0.58753075,0.3552514193025142,-4.724651415513414
sample_29f9e066efca11f2cdea,954d4af771261c3623ef5d34969a1d99460e3857d07f7a915b53ac8f297a8a68,map_002,map_002,final,0,six_axis,explicit,6.0,RECOVERED_LOCAL_local,v3_exact_match,d46c9e86aea3de5c,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,,215.24718946308448,1078,0.1998581146361044,0.2000000000000028,0.200000000000017,-6.571122221531896e-05,0.0141794482593554,0.0850514553387196,0.0096870192136716,0.0340841405587813,0.0599764285765413,0.083049953670501,0.0018916695732439,0.0867750688252488,0.009070696650045,-1.2358697862246639e-17,0.0245406384963343,0.1811304869354362,0.059401479332978,0.0047690008150887,0.1193912602804454,0.0244322919569133,15.230495953886477,26.716507237904576,19.092538932539952,24.174598454303577,26.432761205652444,0.1434781594634568,0.2979312392357851,2.3565129606199924,6.03755518638007,5.898394175779597,-0.5059097014282238,0.1472126621364376,0.9839304355329884,0.0877340816957892,0.4670380256078857,0.6419540828817074,0.0719375829208219,1.6107187732282209,0.5027022246502396,0.1478478999873023,0.3110962889232994,0.2980268106957167,0.0341902757318109,0.8306824071126366,0.2130998831081645,2.5109482862687296,2.617690825316477,2.5109482862687296,0.0730068168697761,0.4345602272857682,2.513485903189061,2.8501183110683552,12,0.72031576,0.7901257096512571,-2.5109482862687296
sample_342efc6d323f47c27444,3465a6dfcad8052639150653edc03085a4e8f223b361daa89c530ac5f8be384a,map_019,map_019,final,1,unknown,unknown,,RECOVERED_LOCAL_local,v3_exact_match,derived-1c6f954ff7dc8568,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,,858.5454279631281,4294,0.1999872881349005,0.1999999999999886,0.2000000000000454,0.0006567330688155,0.0027473541501534,0.0206575688819536,0.0002913236421359,0.0102749365153004,0.0157928652024341,0.0204136513158986,0.0003948827398218,0.0097872935718943,0.0023243737670005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.60866741775298,50.0,32.059725704586526,50.0,50.0,0.0503100579555422,0.2443199134664082,1.0164176664283662,6.200000096629664,5.007221716904084,-0.585201605882774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0503106654325084,0.3578783704292569,0.2443199134664082,0.0063171296984271,0.1209716727787829,0.0321010876689472,2.931467249703318,2.683946903788889,2.683946903788889,0.0205178061827905,0.0,3.1222985014404308,2.7193823370976937,12,0.5621248,0.43627331711273315,-2.683946903788889
sample_347eac32e8b8cf5ff624,a90a4409db31b48800124c25b4eaa8203b612b0bb03a5e4cf98266ff0ff56175,map_002,map_002,final,0,six_axis,explicit,6.0,RECOVERED_LOCAL_local,v3_exact_match,d46c9e86aea3de5c,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,,215.24718946308448,1078,0.1998581146361044,0.2000000000000028,0.200000000000017,-6.571122221531896e-05,0.0141794482593554,0.0850514553387196,0.0096870192136716,0.0340841405587813,0.0599764285765413,0.083049953670501,0.0018916695732439,0.0867750688252488,0.009070696650045,-1.2358697862246639e-17,0.0245406384963343,0.1811304869354362,0.059401479332978,0.0047690008150887,0.1193912602804454,0.0244322919569133,15.204472001368709,26.716507237904576,19.092538932539952,24.174598454303577,26.432761205652444,0.1430445096783336,0.2979312392357851,2.3543966728172734,6.03755518638007,5.898394175779597,-0.5041182999353505,0.1472126621364376,0.9839304355329884,0.0877340816957892,0.4670380256078857,0.6419540828817074,0.0719375829208219,1.6107187732282209,0.5027022246502396,0.1476087835791616,0.3110962889232994,0.2980268106957167,0.0339160419134752,0.8306824071126366,0.2086061233471542,2.5109482862687296,2.617690825316477,2.5109482862687296,0.0730068168697761,0.4345602272857682,2.513485903189061,2.8501183110683552,12,0.72031576,0.7901257096512571,-2.5109482862687296
sample_38198aa5505643578f87,461b7fd375f1f42f261ddbe9d1c2a743704b4e3d9006601f4f1bb5d732dd4e25,map_016,map_016,final,0,five_axis,explicit,5.0,RECOVERED_LOCAL_local,v3_exact_match,c55daff1b698d1f4,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,,229.2597966326493,1148,0.1998777651548817,0.200000000000001,0.200000000000017,-0.0011916511941271,0.0177896546134362,0.058615121567852,0.012095162955956,0.0463296451190945,0.0527712601445114,0.0577365706806308,0.0013576796722922,0.0054472317525605,0.0041274577724144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.27431189730091,20.440063302027216,11.907737342633558,16.762969282995247,18.70340005860274,0.1788771359982946,0.4297665806122425,1.861608825221137,3.5000000000000013,3.5000000000000004,-0.6285867003132022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1504042054204487,0.4994548897810985,0.4589576202956608,0.0123318358178857,0.0554133467549038,0.0474066338974049,2.3034957637821925,2.306079922552631,2.3034957637821925,0.0549414061626305,0.0,2.3042007923622805,2.308496862262549,10,0.55939262,0.5802615571776156,-2.3034957637821925
sample_393b68865f82ee8f4581,bf1ad070068839dec5410aaee93bc5acf28f4dff136efee6bdb73e4a79e35624,map_020,map_020,final,1,unknown,unknown,,RECOVERED_LOCAL_local,v3_exact_match,derived-1c6f954ff7dc8568,pathguard_preexec_v2.0.0,npz_pre_execution_arrays_only,,1168.322044079426,5843,0.1999866559533423,0.2000000000000028,0.2000000000000454,0.0015024823556205,0.0034552753933073,0.020030942512713,0.002219055308641,0.0086337253816412,0.0143442682924897,0.0189227741310154,0.0002493674057282,0.0060579027941012,0.0009017769039969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.28720246100348,35.07500017365155,22.90061312938885,29.784898782441445,31.652246902787866,0.0724572285171141,0.2726842078953744,1.557554254462164,6.042746097730839,5.137880010538647,-0.4155921554713993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0720995724487685,0.342472877724268,0.2726842078953744,0.0051147174251262,0.07559975939632,0.0168300464381584,3.400705265817041,3.250743512463856,3.250743512463856,0.0191412924297622,0.0,3.407378896307034,3.3048571669613582,12,0.57113145,0.386455798864558,-3.250743512463856
