failure_risk_threshold,precision_failure,recall_failure,f2_failure
0.050,0.592593,1.000000,0.879121
0.055,0.592593,1.000000,0.879121
0.060,0.592593,1.000000,0.879121
0.065,0.592593,1.000000,0.879121
0.070,0.592593,1.000000,0.879121
0.075,0.592593,1.000000,0.879121
0.080,0.592593,1.000000,0.879121
0.085,0.592593,1.000000,0.879121
0.090,0.592593,1.000000,0.879121
0.095,0.592593,1.000000,0.879121
0.100,0.592593,1.000000,0.879121
0.105,0.592593,1.000000,0.879121
0.110,0.592593,1.000000,0.879121
0.115,0.592593,1.000000,0.879121
0.120,0.592593,1.000000,0.879121
0.125,0.592593,1.000000,0.879121
0.130,0.592593,1.000000,0.879121
0.135,0.592593,1.000000,0.879121
0.140,0.592593,1.000000,0.879121
0.145,0.592593,1.000000,0.879121
0.150,0.592593,1.000000,0.879121
0.155,0.592593,1.000000,0.879121
0.160,0.592593,1.000000,0.879121
0.165,0.592593,1.000000,0.879121
0.170,0.592593,1.000000,0.879121
0.175,0.592593,1.000000,0.879121
0.180,0.592593,1.000000,0.879121
0.185,0.592593,1.000000,0.879121
0.190,0.592593,1.000000,0.879121
0.195,0.592593,1.000000,0.879121
0.200,0.592593,1.000000,0.879121
0.205,0.592593,1.000000,0.879121
0.210,0.592593,1.000000,0.879121
0.215,0.592593,1.000000,0.879121
0.220,0.592593,1.000000,0.879121
0.225,0.592593,1.000000,0.879121
0.230,0.592593,1.000000,0.879121
0.235,0.592593,1.000000,0.879121
0.240,0.592593,1.000000,0.879121
0.245,0.592593,1.000000,0.879121
0.250,0.592593,1.000000,0.879121
0.255,0.592593,1.000000,0.879121
0.260,0.592593,1.000000,0.879121
0.265,0.592593,1.000000,0.879121
0.270,0.592593,1.000000,0.879121
0.275,0.592593,1.000000,0.879121
0.280,0.592593,1.000000,0.879121
0.285,0.592593,1.000000,0.879121
0.290,0.592593,1.000000,0.879121
0.295,0.592593,1.000000,0.879121
0.300,0.592593,1.000000,0.879121
0.305,0.592593,1.000000,0.879121
0.310,0.592593,1.000000,0.879121
0.315,0.592593,1.000000,0.879121
0.320,0.592593,1.000000,0.879121
0.325,0.592593,1.000000,0.879121
0.330,0.592593,1.000000,0.879121
0.335,0.592593,1.000000,0.879121
0.340,0.592593,1.000000,0.879121
0.345,0.592593,1.000000,0.879121
0.350,0.592593,1.000000,0.879121
0.355,0.592593,1.000000,0.879121
0.360,0.592593,1.000000,0.879121
0.365,0.592593,1.000000,0.879121
0.370,0.592593,1.000000,0.879121
0.375,0.592593,1.000000,0.879121
0.380,0.592593,1.000000,0.879121
0.385,0.592593,1.000000,0.879121
0.390,0.592593,1.000000,0.879121
0.395,0.592593,1.000000,0.879121
0.400,0.592593,1.000000,0.879121
0.405,0.592593,1.000000,0.879121
0.410,0.592593,1.000000,0.879121
0.415,0.592593,1.000000,0.879121
0.420,0.592593,1.000000,0.879121
0.425,0.592593,1.000000,0.879121
0.430,0.592593,1.000000,0.879121
0.435,0.592593,1.000000,0.879121
0.440,0.592593,1.000000,0.879121
0.445,0.592593,1.000000,0.879121
0.450,0.603774,1.000000,0.883978
0.455,0.603774,1.000000,0.883978
0.460,0.603774,1.000000,0.883978
0.465,0.596154,0.968750,0.861111
0.470,0.596154,0.968750,0.861111
0.475,0.596154,0.968750,0.861111
0.480,0.607843,0.968750,0.865922
0.485,0.607843,0.968750,0.865922
0.490,0.607843,0.968750,0.865922
0.495,0.607843,0.968750,0.865922
0.500,0.607843,0.968750,0.865922
0.505,0.607843,0.968750,0.865922
0.510,0.607843,0.968750,0.865922
0.515,0.607843,0.968750,0.865922
0.520,0.607843,0.968750,0.865922
0.525,0.607843,0.968750,0.865922
0.530,0.607843,0.968750,0.865922
0.535,0.620000,0.968750,0.870787
0.540,0.613636,0.843750,0.784884
0.545,0.627907,0.843750,0.789474
0.550,0.627907,0.843750,0.789474
0.555,0.627907,0.843750,0.789474
0.560,0.627907,0.843750,0.789474
0.565,0.627907,0.843750,0.789474
0.570,0.627907,0.843750,0.789474
0.575,0.600000,0.750000,0.714286
0.580,0.578947,0.687500,0.662651
0.585,0.567568,0.656250,0.636364
0.590,0.545455,0.562500,0.559006
0.595,0.551724,0.500000,0.509554
0.600,0.608696,0.437500,0.463576
0.605,0.608696,0.437500,0.463576
0.610,0.636364,0.437500,0.466667
0.615,0.666667,0.437500,0.469799
0.620,0.736842,0.437500,0.476190
0.625,0.705882,0.375000,0.413793
0.630,0.583333,0.218750,0.250000
0.635,0.500000,0.125000,0.147059
0.640,0.500000,0.062500,0.075758
0.645,0.500000,0.062500,0.075758
0.650,0.500000,0.031250,0.038462
0.655,0.000000,0.000000,0.000000
0.660,0.000000,0.000000,0.000000
0.665,0.000000,0.000000,0.000000
0.670,0.000000,0.000000,0.000000
0.675,0.000000,0.000000,0.000000
0.680,0.000000,0.000000,0.000000
0.685,0.000000,0.000000,0.000000
0.690,0.000000,0.000000,0.000000
0.695,0.000000,0.000000,0.000000
0.700,0.000000,0.000000,0.000000
0.705,0.000000,0.000000,0.000000
0.710,0.000000,0.000000,0.000000
0.715,0.000000,0.000000,0.000000
0.720,0.000000,0.000000,0.000000
0.725,0.000000,0.000000,0.000000
0.730,0.000000,0.000000,0.000000
0.735,0.000000,0.000000,0.000000
0.740,0.000000,0.000000,0.000000
0.745,0.000000,0.000000,0.000000
0.750,0.000000,0.000000,0.000000
0.755,0.000000,0.000000,0.000000
0.760,0.000000,0.000000,0.000000
0.765,0.000000,0.000000,0.000000
0.770,0.000000,0.000000,0.000000
0.775,0.000000,0.000000,0.000000
0.780,0.000000,0.000000,0.000000
0.785,0.000000,0.000000,0.000000
0.790,0.000000,0.000000,0.000000
0.795,0.000000,0.000000,0.000000
0.800,0.000000,0.000000,0.000000
0.805,0.000000,0.000000,0.000000
0.810,0.000000,0.000000,0.000000
0.815,0.000000,0.000000,0.000000
0.820,0.000000,0.000000,0.000000
0.825,0.000000,0.000000,0.000000
0.830,0.000000,0.000000,0.000000
0.835,0.000000,0.000000,0.000000
0.840,0.000000,0.000000,0.000000
0.845,0.000000,0.000000,0.000000
0.850,0.000000,0.000000,0.000000
0.855,0.000000,0.000000,0.000000
0.860,0.000000,0.000000,0.000000
0.865,0.000000,0.000000,0.000000
0.870,0.000000,0.000000,0.000000
0.875,0.000000,0.000000,0.000000
0.880,0.000000,0.000000,0.000000
0.885,0.000000,0.000000,0.000000
0.890,0.000000,0.000000,0.000000
0.895,0.000000,0.000000,0.000000
0.900,0.000000,0.000000,0.000000
0.905,0.000000,0.000000,0.000000
0.910,0.000000,0.000000,0.000000
0.915,0.000000,0.000000,0.000000
0.920,0.000000,0.000000,0.000000
0.925,0.000000,0.000000,0.000000
0.930,0.000000,0.000000,0.000000
0.935,0.000000,0.000000,0.000000
0.940,0.000000,0.000000,0.000000
0.945,0.000000,0.000000,0.000000
0.950,0.000000,0.000000,0.000000
